[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 146.1559914831757, Score, 38.5,sDepthFirstSearchLowCost,Cost, 479.27766321782656, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 410.3422850024124, Score, -26.333333333333332, PathLength, 78.0,
hRandomSet,Cost, 213.1252363092724, Score, 43.833333333333336,sDepthFirstSearchLowCost,Cost, 540.2417017418287, Score, -53.333333333333336, PathLength, 159.0,sLeastConnectedFirst,Cost, 516.0072882774625, Score, -34.333333333333336, PathLength, 102.0,
hRandomSet,Cost, 118.36436249223348, Score, 31.5,sDepthFirstSearchLowCost,Cost, 210.62123973425392, Score, -27.333333333333332, PathLength, 81.0,sLeastConnectedFirst,Cost, 564.0286661133979, Score, -35.66666666666667, PathLength, 106.0,
hMinimumConnectivity,Cost, 23186.9027798405, Score, 43.0,sDepthFirstSearchLowCost,Cost, 688.8808878885162, Score, -57.99999999999999, PathLength, 173.0,sLeastConnectedFirst,Cost, 413.56314545766753, Score, -28.000000000000004, PathLength, 83.0,
hMinimumConnectivity,Cost, 8565.78660590018, Score, 35.0,sDepthFirstSearchLowCost,Cost, 413.342627040708, Score, -43.333333333333336, PathLength, 129.0,sLeastConnectedFirst,Cost, 355.1935116318192, Score, -26.666666666666668, PathLength, 79.0,
hRandomSet,Cost, 269.45472429253846, Score, 42.5,sDepthFirstSearchLowCost,Cost, 544.1015513005999, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 561.7913980377541, Score, -34.333333333333336, PathLength, 102.0,
hMinimumConnectivity,Cost, 3260.9631260298434, Score, 43.0,sDepthFirstSearchLowCost,Cost, 587.207080481102, Score, -55.666666666666664, PathLength, 166.0,sLeastConnectedFirst,Cost, 484.55939411417813, Score, -30.333333333333336, PathLength, 90.0,
hRandomSet,Cost, 305.72959232203846, Score, 33.5,sDepthFirstSearchLowCost,Cost, 465.49616333340197, Score, -42.66666666666667, PathLength, 127.0,sLeastConnectedFirst,Cost, 372.97425585705093, Score, -24.333333333333336, PathLength, 72.0,
hRandomSet,Cost, 281.02424465945865, Score, 32.0,sDepthFirstSearchLowCost,Cost, 392.67023695523443, Score, -43.666666666666664, PathLength, 130.0,sLeastConnectedFirst,Cost, 301.19432892383367, Score, -20.333333333333332, PathLength, 60.0,
hRandomSet,Cost, 125.66048292235413, Score, 26.0,sDepthFirstSearchLowCost,Cost, 169.68452368869356, Score, -23.0, PathLength, 68.0,sLeastConnectedFirst,Cost, 423.0007740768737, Score, -28.999999999999996, PathLength, 86.0,
hMinimumConnectivity,Cost, 11806.929738869416, Score, 38.0,sDepthFirstSearchLowCost,Cost, 540.1569980537081, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 349.99567669715174, Score, -24.333333333333336, PathLength, 72.0,
hMinimumConnectivity,Cost, 4563.177366413404, Score, 47.83333333333333,sDepthFirstSearchLowCost,Cost, 682.902438824301, Score, -63.33333333333333, PathLength, 189.0,sLeastConnectedFirst,Cost, 499.17794334532766, Score, -32.33333333333333, PathLength, 96.0,
hRandomSet,Cost, 237.47457785176996, Score, 21.833333333333332,sDepthFirstSearchLowCost,Cost, 81.25109495709623, Score, -15.333333333333332, PathLength, 45.0,sLeastConnectedFirst,Cost, 411.37199653644365, Score, -28.333333333333332, PathLength, 84.0,
hMinimumConnectivity,Cost, 4488.651477822403, Score, 40.0,sDepthFirstSearchLowCost,Cost, 583.2624541351147, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 394.1021614720231, Score, -28.333333333333332, PathLength, 84.0,
hMinimumConnectivity,Cost, 16180.49763039446, Score, 38.66666666666667,sDepthFirstSearchLowCost,Cost, 589.4529318225872, Score, -53.333333333333336, PathLength, 159.0,sLeastConnectedFirst,Cost, 380.2095747474803, Score, -24.0, PathLength, 71.0,
hMinimumConnectivity,Cost, 14714.562185131403, Score, 25.833333333333336,sDepthFirstSearchLowCost,Cost, 304.12577776829704, Score, -33.0, PathLength, 98.0,sLeastConnectedFirst,Cost, 286.2164972139972, Score, -18.666666666666668, PathLength, 55.0,
hMinimumConnectivity,Cost, 1529.4452437247617, Score, 37.833333333333336,sDepthFirstSearchLowCost,Cost, 525.4810212984697, Score, -48.0, PathLength, 143.0,sLeastConnectedFirst,Cost, 386.9298287114832, Score, -27.666666666666668, PathLength, 82.0,
hRandomSet,Cost, 159.61643957763616, Score, 42.666666666666664,sDepthFirstSearchLowCost,Cost, 589.3429662562238, Score, -52.0, PathLength, 155.0,sLeastConnectedFirst,Cost, 478.3670781831613, Score, -33.33333333333333, PathLength, 99.0,
hRandomSet,Cost, 155.61392332073382, Score, 29.333333333333336,sDepthFirstSearchLowCost,Cost, 159.6788634782056, Score, -21.666666666666668, PathLength, 64.0,sLeastConnectedFirst,Cost, 577.8884135930846, Score, -37.0, PathLength, 110.0,
hRandomSet,Cost, 256.0045583169059, Score, 34.5,sDepthFirstSearchLowCost,Cost, 389.51863499376327, Score, -39.666666666666664, PathLength, 118.0,sLeastConnectedFirst,Cost, 379.51124419767814, Score, -29.333333333333332, PathLength, 87.0,
hRandomSet,Cost, 151.9069074909598, Score, 33.16666666666667,sDepthFirstSearchLowCost,Cost, 380.3697957024466, Score, -35.333333333333336, PathLength, 105.0,sLeastConnectedFirst,Cost, 480.3880549422077, Score, -31.0, PathLength, 92.0,
hRandomSet,Cost, 138.9047323929132, Score, 32.0,sDepthFirstSearchLowCost,Cost, 305.6271932344388, Score, -33.666666666666664, PathLength, 100.0,sLeastConnectedFirst,Cost, 444.8012210484996, Score, -30.333333333333336, PathLength, 90.0,
hRandomSet,Cost, 197.16755210399606, Score, 33.0,sDepthFirstSearchLowCost,Cost, 332.635587669256, Score, -34.0, PathLength, 101.0,sLeastConnectedFirst,Cost, 518.0563248612491, Score, -32.0, PathLength, 95.0,
hMinimumConnectivity,Cost, 14659.863173042468, Score, 37.83333333333333,sDepthFirstSearchLowCost,Cost, 389.6665165208759, Score, -44.0, PathLength, 131.0,sLeastConnectedFirst,Cost, 468.6484264852652, Score, -31.666666666666664, PathLength, 94.0,
hMinimumConnectivity,Cost, 14395.0818447018, Score, 48.0,sDepthFirstSearchLowCost,Cost, 616.668592613505, Score, -62.0, PathLength, 185.0,sLeastConnectedFirst,Cost, 533.265427356374, Score, -34.0, PathLength, 101.0,
hRandomSet,Cost, 189.0880175231815, Score, 27.833333333333336,sDepthFirstSearchLowCost,Cost, 179.37800084221038, Score, -26.0, PathLength, 77.0,sLeastConnectedFirst,Cost, 439.6672179563451, Score, -29.666666666666668, PathLength, 88.0,
hRandomSet,Cost, 215.09867719840364, Score, 28.333333333333336,sDepthFirstSearchLowCost,Cost, 249.23686396912353, Score, -29.666666666666668, PathLength, 88.0,sLeastConnectedFirst,Cost, 410.46290361609636, Score, -27.0, PathLength, 80.0,
hMinimumConnectivity,Cost, 2751.3317882317037, Score, 40.833333333333336,sDepthFirstSearchLowCost,Cost, 545.5956316295363, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 446.28546126635734, Score, -30.0, PathLength, 89.0,
hRandomSet,Cost, 171.97735547453894, Score, 34.5,sDepthFirstSearchLowCost,Cost, 405.8644162186465, Score, -39.666666666666664, PathLength, 118.0,sLeastConnectedFirst,Cost, 453.07682615925876, Score, -29.333333333333332, PathLength, 87.0,
hRandomSet,Cost, 379.4124361043252, Score, 38.5,sDepthFirstSearchLowCost,Cost, 454.4944009417666, Score, -45.0, PathLength, 134.0,sLeastConnectedFirst,Cost, 497.95642203377184, Score, -32.0, PathLength, 95.0,
hMinimumConnectivity,Cost, 14144.434982367833, Score, 35.5,sDepthFirstSearchLowCost,Cost, 547.0362003178979, Score, -44.0, PathLength, 131.0,sLeastConnectedFirst,Cost, 444.2893697074757, Score, -27.0, PathLength, 80.0,
hMinimumConnectivity,Cost, 26891.062280625043, Score, 29.0,sDepthFirstSearchLowCost,Cost, 383.71043458246413, Score, -36.333333333333336, PathLength, 108.0,sLeastConnectedFirst,Cost, 318.57923873964086, Score, -21.666666666666668, PathLength, 64.0,
hRandomSet,Cost, 161.32201791717497, Score, 33.16666666666667,sDepthFirstSearchLowCost,Cost, 285.71822959505005, Score, -32.0, PathLength, 95.0,sLeastConnectedFirst,Cost, 475.6514797790651, Score, -34.333333333333336, PathLength, 102.0,
hRandomSet,Cost, 261.8517749674352, Score, 32.5,sDepthFirstSearchLowCost,Cost, 339.1475773355377, Score, -38.666666666666664, PathLength, 115.0,sLeastConnectedFirst,Cost, 395.08489667037276, Score, -26.333333333333332, PathLength, 78.0,
hRandomSet,Cost, 95.7209392887044, Score, 29.83333333333333,sDepthFirstSearchLowCost,Cost, 201.2959058679612, Score, -27.333333333333332, PathLength, 81.0,sLeastConnectedFirst,Cost, 468.8807717625572, Score, -32.33333333333333, PathLength, 96.0,
hMinimumConnectivity,Cost, 10154.073065338387, Score, 39.0,sDepthFirstSearchLowCost,Cost, 514.8658713386395, Score, -51.33333333333333, PathLength, 153.0,sLeastConnectedFirst,Cost, 396.67538893612647, Score, -26.666666666666668, PathLength, 79.0,
hRandomSet,Cost, 110.40445414107212, Score, 44.16666666666667,sDepthFirstSearchLowCost,Cost, 414.4250401632308, Score, -45.0, PathLength, 134.0,sLeastConnectedFirst,Cost, 613.4595283603232, Score, -43.333333333333336, PathLength, 129.0,
hMinimumConnectivity,Cost, 13036.190918796921, Score, 50.83333333333333,sDepthFirstSearchLowCost,Cost, 647.3522137211935, Score, -64.33333333333333, PathLength, 192.0,sLeastConnectedFirst,Cost, 555.1906096740203, Score, -37.333333333333336, PathLength, 111.0,
hMinimumConnectivity,Cost, 5797.175449544367, Score, 38.16666666666667,sDepthFirstSearchLowCost,Cost, 518.4900292730039, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 372.545888010306, Score, -27.0, PathLength, 80.0,
hMinimumConnectivity,Cost, 3325.875975694516, Score, 33.166666666666664,sDepthFirstSearchLowCost,Cost, 522.4943111950522, Score, -49.666666666666664, PathLength, 148.0,sLeastConnectedFirst,Cost, 236.20074195043875, Score, -16.666666666666664, PathLength, 49.0,
hMinimumConnectivity,Cost, 14336.850995177103, Score, 36.333333333333336,sDepthFirstSearchLowCost,Cost, 475.210761693933, Score, -44.666666666666664, PathLength, 133.0,sLeastConnectedFirst,Cost, 396.1916129339556, Score, -28.000000000000004, PathLength, 83.0,
hRandomSet,Cost, 176.95539446796522, Score, 25.0,sDepthFirstSearchLowCost,Cost, 270.3177314372876, Score, -30.666666666666664, PathLength, 91.0,sLeastConnectedFirst,Cost, 279.27231532958456, Score, -19.333333333333332, PathLength, 57.0,
hRandomSet,Cost, 253.14361068085336, Score, 38.333333333333336,sDepthFirstSearchLowCost,Cost, 579.8616586694342, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 358.86174194915947, Score, -26.0, PathLength, 77.0,
hRandomSet,Cost, 249.81861907544877, Score, 25.666666666666668,sDepthFirstSearchLowCost,Cost, 308.06775286812837, Score, -31.333333333333336, PathLength, 93.0,sLeastConnectedFirst,Cost, 283.705793230619, Score, -20.0, PathLength, 59.0,
hMinimumConnectivity,Cost, 17732.778826780206, Score, 48.0,sDepthFirstSearchLowCost,Cost, 536.5016435064084, Score, -62.33333333333333, PathLength, 186.0,sLeastConnectedFirst,Cost, 448.78184862761617, Score, -33.666666666666664, PathLength, 100.0,
hRandomSet,Cost, 333.50849992448065, Score, 34.166666666666664,sDepthFirstSearchLowCost,Cost, 496.8306569204837, Score, -48.0, PathLength, 143.0,sLeastConnectedFirst,Cost, 264.1030427558384, Score, -20.333333333333332, PathLength, 60.0,
hMinimumConnectivity,Cost, 6715.212059441313, Score, 43.0,sDepthFirstSearchLowCost,Cost, 551.5593263862312, Score, -55.666666666666664, PathLength, 166.0,sLeastConnectedFirst,Cost, 497.6451438402342, Score, -30.333333333333336, PathLength, 90.0,
hMinimumConnectivity,Cost, 12425.425253255202, Score, 30.666666666666668,sDepthFirstSearchLowCost,Cost, 371.3959245952603, Score, -35.333333333333336, PathLength, 105.0,sLeastConnectedFirst,Cost, 413.4645802939415, Score, -26.0, PathLength, 77.0,
