[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 147.74637716635198, Score, 39.33333333333333,sDepthFirstSearchLowCost,Cost, 258.45005541922274, Score, -32.33333333333333, PathLength, 96.0,sMostConnectedFirst,Cost, 652.2643581507685, Score, -46.33333333333333, PathLength, 138.0,
hMinimumConnectivity,Cost, 18960.64192041213, Score, 81.5,sDepthFirstSearchLowCost,Cost, 657.0619470873094, Score, -49.666666666666664, PathLength, 148.0,sMostConnectedFirst,Cost, 1753.4082878379384, Score, -113.33333333333333, PathLength, 339.0,
hRandomSet,Cost, 116.08668696463718, Score, 39.0,sDepthFirstSearchLowCost,Cost, 425.9066791297605, Score, -40.0, PathLength, 119.0,sMostConnectedFirst,Cost, 553.7580564158626, Score, -38.0, PathLength, 113.0,
hMinimumConnectivity,Cost, 15903.742463274744, Score, 45.16666666666667,sDepthFirstSearchLowCost,Cost, 284.26032595681045, Score, -32.0, PathLength, 95.0,sMostConnectedFirst,Cost, 786.3143564597639, Score, -58.333333333333336, PathLength, 174.0,
hRandomSet,Cost, 101.21419193904593, Score, 30.833333333333332,sDepthFirstSearchLowCost,Cost, 408.94440900973007, Score, -38.666666666666664, PathLength, 115.0,sMostConnectedFirst,Cost, 313.78563877029785, Score, -23.0, PathLength, 68.0,
hMinimumConnectivity,Cost, 4761.0396461536375, Score, 43.83333333333333,sDepthFirstSearchLowCost,Cost, 282.14405143414285, Score, -32.0, PathLength, 95.0,sMostConnectedFirst,Cost, 847.0571196026932, Score, -55.666666666666664, PathLength, 166.0,
hMinimumConnectivity,Cost, 9267.277578340718, Score, 52.83333333333333,sDepthFirstSearchLowCost,Cost, 523.6289886629817, Score, -51.0, PathLength, 152.0,sMostConnectedFirst,Cost, 834.4580446421935, Score, -54.666666666666664, PathLength, 163.0,
hRandomSet,Cost, 144.92831690760858, Score, 33.666666666666664,sDepthFirstSearchLowCost,Cost, 401.5922054758783, Score, -38.666666666666664, PathLength, 115.0,sMostConnectedFirst,Cost, 457.97310592593266, Score, -28.666666666666668, PathLength, 85.0,
hMinimumConnectivity,Cost, 16268.2734032023, Score, 58.83333333333333,sDepthFirstSearchLowCost,Cost, 522.2227734645198, Score, -49.333333333333336, PathLength, 147.0,sMostConnectedFirst,Cost, 1089.4978680700299, Score, -68.33333333333333, PathLength, 204.0,
hRandomSet,Cost, 272.27135092715054, Score, 43.83333333333333,sDepthFirstSearchLowCost,Cost, 484.5114917682186, Score, -43.0, PathLength, 128.0,sMostConnectedFirst,Cost, 595.907713749904, Score, -44.666666666666664, PathLength, 133.0,
hMinimumConnectivity,Cost, 2257.669310374243, Score, 82.33333333333333,sDepthFirstSearchLowCost,Cost, 554.9110248747821, Score, -64.0, PathLength, 191.0,sMostConnectedFirst,Cost, 1454.721746425259, Score, -100.66666666666666, PathLength, 301.0,
hMinimumConnectivity,Cost, 10466.1287207145, Score, 54.0,sDepthFirstSearchLowCost,Cost, 330.1051308347886, Score, -37.666666666666664, PathLength, 112.0,sMostConnectedFirst,Cost, 1084.1703573295435, Score, -70.33333333333334, PathLength, 210.0,
hMinimumConnectivity,Cost, 14197.05514057121, Score, 36.0,sDepthFirstSearchLowCost,Cost, 385.48082563872026, Score, -40.0, PathLength, 119.0,sMostConnectedFirst,Cost, 466.58935829432386, Score, -32.0, PathLength, 95.0,
