[1000, [MinimumConnectivity,1][RandomSet,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 256.9093845064926, Score, 31.0,sDepthFirstSearchLowCost,Cost, 382.192225504042, Score, -42.333333333333336, PathLength, 126.0,sLeastConnectedFirst,Cost, 273.45565007081814, Score, -19.666666666666664, PathLength, 58.0,
hMinimumConnectivity,Cost, 2676.6764865951136, Score, 37.0,sDepthFirstSearchLowCost,Cost, 514.1206297972919, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 367.6626302222003, Score, -23.333333333333332, PathLength, 69.0,
hMinimumConnectivity,Cost, 4669.725091975409, Score, 30.833333333333336,sDepthFirstSearchLowCost,Cost, 402.8493607265888, Score, -42.333333333333336, PathLength, 126.0,sLeastConnectedFirst,Cost, 277.1725825993786, Score, -19.333333333333332, PathLength, 57.0,
hRandomSet,Cost, 231.69508496350903, Score, 30.166666666666664,sDepthFirstSearchLowCost,Cost, 249.13429223843002, Score, -27.666666666666668, PathLength, 82.0,sLeastConnectedFirst,Cost, 566.3410860799931, Score, -32.666666666666664, PathLength, 97.0,
hMinimumConnectivity,Cost, 13157.564081423669, Score, 39.666666666666664,sDepthFirstSearchLowCost,Cost, 435.04639947022986, Score, -47.0, PathLength, 140.0,sLeastConnectedFirst,Cost, 464.28996045265336, Score, -32.33333333333333, PathLength, 96.0,
hMinimumConnectivity,Cost, 15875.897756353646, Score, 31.5,sDepthFirstSearchLowCost,Cost, 305.34941463161033, Score, -34.66666666666667, PathLength, 103.0,sLeastConnectedFirst,Cost, 379.4610951035426, Score, -28.333333333333332, PathLength, 84.0,
hMinimumConnectivity,Cost, 1580.0248434346558, Score, 32.16666666666667,sDepthFirstSearchLowCost,Cost, 528.0674198957023, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 158.64478740404346, Score, -12.666666666666668, PathLength, 37.0,
hRandomSet,Cost, 129.64662750614772, Score, 37.0,sDepthFirstSearchLowCost,Cost, 520.1372843997816, Score, -41.0, PathLength, 122.0,sLeastConnectedFirst,Cost, 512.033999051686, Score, -33.0, PathLength, 98.0,
hRandomSet,Cost, 301.5620659218142, Score, 42.66666666666667,sDepthFirstSearchLowCost,Cost, 486.3488865433283, Score, -49.666666666666664, PathLength, 148.0,sLeastConnectedFirst,Cost, 525.5070706322758, Score, -35.66666666666667, PathLength, 106.0,
hRandomSet,Cost, 354.5956031618528, Score, 27.5,sDepthFirstSearchLowCost,Cost, 262.80409252636736, Score, -29.666666666666668, PathLength, 88.0,sLeastConnectedFirst,Cost, 403.7159845205983, Score, -25.333333333333336, PathLength, 75.0,
hRandomSet,Cost, 187.00092180676043, Score, 37.666666666666664,sDepthFirstSearchLowCost,Cost, 537.5903244894812, Score, -45.666666666666664, PathLength, 136.0,sLeastConnectedFirst,Cost, 442.99342984434765, Score, -29.666666666666668, PathLength, 88.0,
hMinimumConnectivity,Cost, 2776.142507656989, Score, 32.16666666666667,sDepthFirstSearchLowCost,Cost, 455.4976434941773, Score, -42.333333333333336, PathLength, 126.0,sLeastConnectedFirst,Cost, 304.3533137402024, Score, -22.0, PathLength, 65.0,
hMinimumConnectivity,Cost, 18431.96804646736, Score, 47.5,sDepthFirstSearchLowCost,Cost, 569.4654239676532, Score, -64.33333333333333, PathLength, 192.0,sLeastConnectedFirst,Cost, 457.71556195053074, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 195.20448858024668, Score, 29.666666666666664,sDepthFirstSearchLowCost,Cost, 221.5108815750528, Score, -27.0, PathLength, 80.0,sLeastConnectedFirst,Cost, 452.0901036994043, Score, -32.33333333333333, PathLength, 96.0,
hMinimumConnectivity,Cost, 18629.053290872696, Score, 42.666666666666664,sDepthFirstSearchLowCost,Cost, 641.4098247809909, Score, -52.0, PathLength, 155.0,sLeastConnectedFirst,Cost, 561.0143740512101, Score, -33.33333333333333, PathLength, 99.0,
hRandomSet,Cost, 319.41145739929215, Score, 31.5,sDepthFirstSearchLowCost,Cost, 473.0364960958888, Score, -44.0, PathLength, 131.0,sLeastConnectedFirst,Cost, 271.9520666516026, Score, -19.0, PathLength, 56.0,
hRandomSet,Cost, 199.11980677080805, Score, 36.333333333333336,sDepthFirstSearchLowCost,Cost, 544.0249165637646, Score, -47.333333333333336, PathLength, 141.0,sLeastConnectedFirst,Cost, 413.3670694385901, Score, -25.333333333333336, PathLength, 75.0,
hRandomSet,Cost, 305.2403326540465, Score, 22.833333333333336,sDepthFirstSearchLowCost,Cost, 145.1603760992219, Score, -18.666666666666668, PathLength, 55.0,sLeastConnectedFirst,Cost, 389.8947353774577, Score, -27.0, PathLength, 80.0,
hRandomSet,Cost, 153.34875153205522, Score, 26.833333333333336,sDepthFirstSearchLowCost,Cost, 188.3785460307197, Score, -25.666666666666664, PathLength, 76.0,sLeastConnectedFirst,Cost, 423.149089682841, Score, -28.000000000000004, PathLength, 83.0,
hMinimumConnectivity,Cost, 16665.750127466556, Score, 39.166666666666664,sDepthFirstSearchLowCost,Cost, 563.7201931564048, Score, -52.0, PathLength, 155.0,sLeastConnectedFirst,Cost, 405.1449124949898, Score, -26.333333333333332, PathLength, 78.0,
hMinimumConnectivity,Cost, 4935.745784011586, Score, 42.666666666666664,sDepthFirstSearchLowCost,Cost, 586.4319348838134, Score, -61.33333333333333, PathLength, 183.0,sLeastConnectedFirst,Cost, 358.59089092534634, Score, -24.0, PathLength, 71.0,
hMinimumConnectivity,Cost, 16852.908513318733, Score, 43.5,sDepthFirstSearchLowCost,Cost, 584.7448275055701, Score, -56.00000000000001, PathLength, 167.0,sLeastConnectedFirst,Cost, 455.1329630747489, Score, -31.0, PathLength, 92.0,
hRandomSet,Cost, 122.85026153323865, Score, 24.0,sDepthFirstSearchLowCost,Cost, 217.60963972845659, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 377.1245266673732, Score, -23.0, PathLength, 68.0,
hRandomSet,Cost, 325.9873584906502, Score, 26.33333333333333,sDepthFirstSearchLowCost,Cost, 137.61984235414374, Score, -20.333333333333332, PathLength, 60.0,sLeastConnectedFirst,Cost, 475.7887222958901, Score, -32.33333333333333, PathLength, 96.0,
hMinimumConnectivity,Cost, 9383.447428562364, Score, 42.0,sDepthFirstSearchLowCost,Cost, 674.6675111951922, Score, -57.333333333333336, PathLength, 171.0,sLeastConnectedFirst,Cost, 462.77612783958074, Score, -26.666666666666668, PathLength, 79.0,
hMinimumConnectivity,Cost, 7648.045998193093, Score, 43.83333333333333,sDepthFirstSearchLowCost,Cost, 502.8833244552358, Score, -56.99999999999999, PathLength, 170.0,sLeastConnectedFirst,Cost, 427.973481320891, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 404.9164399999633, Score, 34.166666666666664,sDepthFirstSearchLowCost,Cost, 244.9620105074402, Score, -30.666666666666664, PathLength, 91.0,sLeastConnectedFirst,Cost, 499.24458956612676, Score, -37.666666666666664, PathLength, 112.0,
hMinimumConnectivity,Cost, 3674.869520712274, Score, 36.16666666666667,sDepthFirstSearchLowCost,Cost, 535.0043093916202, Score, -54.333333333333336, PathLength, 162.0,sLeastConnectedFirst,Cost, 246.65553566494825, Score, -18.0, PathLength, 53.0,
hRandomSet,Cost, 247.854146658649, Score, 31.333333333333332,sDepthFirstSearchLowCost,Cost, 391.5959770493062, Score, -37.0, PathLength, 110.0,sLeastConnectedFirst,Cost, 385.8807386983674, Score, -25.666666666666664, PathLength, 76.0,
hMinimumConnectivity,Cost, 9132.43431746699, Score, 39.5,sDepthFirstSearchLowCost,Cost, 590.2418926289693, Score, -53.666666666666664, PathLength, 160.0,sLeastConnectedFirst,Cost, 345.9618613458661, Score, -25.333333333333336, PathLength, 75.0,
hMinimumConnectivity,Cost, 22367.2628262217, Score, 34.166666666666664,sDepthFirstSearchLowCost,Cost, 445.1717235288395, Score, -46.33333333333333, PathLength, 138.0,sLeastConnectedFirst,Cost, 271.5037918068317, Score, -22.0, PathLength, 65.0,
hMinimumConnectivity,Cost, 9227.462445419374, Score, 42.5,sDepthFirstSearchLowCost,Cost, 532.3372976570382, Score, -54.666666666666664, PathLength, 163.0,sLeastConnectedFirst,Cost, 448.3459828786236, Score, -30.333333333333336, PathLength, 90.0,
hRandomSet,Cost, 163.61395790389037, Score, 32.83333333333333,sDepthFirstSearchLowCost,Cost, 350.543067679309, Score, -35.0, PathLength, 104.0,sLeastConnectedFirst,Cost, 482.52735162672496, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 141.74750436645581, Score, 30.0,sDepthFirstSearchLowCost,Cost, 269.50600347546504, Score, -32.33333333333333, PathLength, 96.0,sLeastConnectedFirst,Cost, 378.77950527597915, Score, -27.666666666666668, PathLength, 82.0,
hRandomSet,Cost, 204.43612229861682, Score, 36.66666666666667,sDepthFirstSearchLowCost,Cost, 473.1580953480113, Score, -42.0, PathLength, 125.0,sLeastConnectedFirst,Cost, 495.6522387882349, Score, -31.333333333333336, PathLength, 93.0,
hMinimumConnectivity,Cost, 1105.303238409853, Score, 37.333333333333336,sDepthFirstSearchLowCost,Cost, 514.5957788982901, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 356.97615189551425, Score, -25.333333333333336, PathLength, 75.0,
hMinimumConnectivity,Cost, 19832.81908091542, Score, 42.0,sDepthFirstSearchLowCost,Cost, 600.0650186044369, Score, -55.333333333333336, PathLength, 165.0,sLeastConnectedFirst,Cost, 431.55677006770486, Score, -28.666666666666668, PathLength, 85.0,
hMinimumConnectivity,Cost, 14938.695419518814, Score, 39.66666666666667,sDepthFirstSearchLowCost,Cost, 592.227814405498, Score, -55.00000000000001, PathLength, 164.0,sLeastConnectedFirst,Cost, 390.3526835551596, Score, -24.333333333333336, PathLength, 72.0,
