[100, [RandomSet,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 19.925477635115858, Score, 195.65217391304347, LeastConnectedNodes, 47, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 138.83118609771776, Score, -195.65217391304347, PathLength, 269.0,
hRandomSet,Cost, 14.07185086762435, Score, 147.91666666666669, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 97.54801771549461, Score, -147.91666666666669, PathLength, 212.0,
hRandomSet,Cost, 18.237108928130674, Score, 115.48387096774194, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 81.01419414242397, Score, -115.48387096774194, PathLength, 178.0,
hRandomSet,Cost, 13.607571560121139, Score, 90.56603773584906, LeastConnectedNodes, 42, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 71.0329860745744, Score, -90.56603773584906, PathLength, 143.0,
hRandomSet,Cost, 27.9603044401324, Score, 165.98639455782313, LeastConnectedNodes, 46, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 114.20541703996089, Score, -165.98639455782313, PathLength, 243.0,
hRandomSet,Cost, 74.91134952577286, Score, 137.85714285714286, LeastConnectedNodes, 44, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 94.12207604538916, Score, -137.85714285714286, PathLength, 192.0,
hRandomSet,Cost, 107.05135570442417, Score, 105.0, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 69.90174332222755, Score, -105.0, PathLength, 146.0,
hRandomSet,Cost, 29.53279578703025, Score, 120.12578616352201, LeastConnectedNodes, 37, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 98.0283214641631, Score, -120.12578616352201, PathLength, 190.0,
hRandomSet,Cost, 22.35095353269671, Score, 460.12658227848095, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 334.2936476729772, Score, -460.12658227848095, PathLength, 726.0,
hRandomSet,Cost, 43.138232189393236, Score, 136.36363636363635, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 113.54756770175716, Score, -136.36363636363635, PathLength, 224.0,
