[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1][DepthFirstSearch,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 44.455498003243875, Score, 51.91000000000004,sConstrainedRandomWalk,Cost, 556.431600514084, Score, -36.72333333333333, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 339.8591746196452, Score, -33.66333333333333, PathLength, 99.0,sOptimalBacktrackPath,Cost, 410.59219290247313, Score, -37.81666666666667, PathLength, 112.0,sBacktrackPath,Cost, 513.6055262071071, Score, -55.79333333333335, PathLength, 166.0,sLowEdgeCost,Cost, 365.2542730657863, Score, -34.44000000000001, PathLength, 102.0,sDepthFirstSearch,Cost, 527.9882428782495, Score, -33.116666666666646, PathLength, 98.0,sBreadthFirstSearch,Cost, 732.0653973747486, Score, -111.78333333333329, PathLength, 334.0,sBreadthFirstSearchLowCost,Cost, 670.9934298548076, Score, -103.51333333333334, PathLength, 309.0,sLeastConnectedFirst,Cost, 464.2462928795534, Score, -29.946666666666662, PathLength, 88.0,sMostConnectedFirst,Cost, 652.0502864464961, Score, -42.30333333333332, PathLength, 125.0,
hRandomSet,Cost, 45.196701453420744, Score, 52.98533333333333,sConstrainedRandomWalk,Cost, 550.3598141731356, Score, -35.839999999999996, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 359.0053132773664, Score, -35.23666666666668, PathLength, 104.0,sOptimalBacktrackPath,Cost, 399.73365749797944, Score, -37.0, PathLength, 110.0,sBacktrackPath,Cost, 618.224774099973, Score, -59.29333333333334, PathLength, 176.0,sLowEdgeCost,Cost, 426.69931916997643, Score, -39.00000000000002, PathLength, 116.0,sDepthFirstSearch,Cost, 490.510198062774, Score, -34.11666666666667, PathLength, 101.0,sBreadthFirstSearch,Cost, 785.1641937256989, Score, -109.61333333333329, PathLength, 327.0,sBreadthFirstSearchLowCost,Cost, 781.1478994042177, Score, -109.97666666666666, PathLength, 328.0,sLeastConnectedFirst,Cost, 444.550387247727, Score, -29.62333333333335, PathLength, 87.0,sMostConnectedFirst,Cost, 616.9936297396201, Score, -40.15333333333333, PathLength, 119.0,
hRandomSet,Cost, 38.375681606070906, Score, 50.18499999999999,sConstrainedRandomWalk,Cost, 457.4117276591076, Score, -32.23333333333333, PathLength, 95.0,sDepthFirstSearchLowCost,Cost, 281.1337724466587, Score, -33.71333333333334, PathLength, 100.0,sOptimalBacktrackPath,Cost, 274.89730249791063, Score, -31.85333333333332, PathLength, 94.0,sBacktrackPath,Cost, 437.1738149056871, Score, -53.74666666666666, PathLength, 160.0,sLowEdgeCost,Cost, 302.11771483820036, Score, -33.836666666666666, PathLength, 100.0,sDepthFirstSearch,Cost, 482.302233125166, Score, -34.13000000000001, PathLength, 101.0,sBreadthFirstSearch,Cost, 601.6989287271866, Score, -110.29666666666667, PathLength, 329.0,sBreadthFirstSearchLowCost,Cost, 568.5691131255003, Score, -106.01666666666667, PathLength, 317.0,sLeastConnectedFirst,Cost, 419.54460308208274, Score, -29.356666666666666, PathLength, 87.0,sMostConnectedFirst,Cost, 530.8115997783937, Score, -36.66666666666667, PathLength, 109.0,
hRandomSet,Cost, 43.15264347587734, Score, 52.50299999999997,sConstrainedRandomWalk,Cost, 510.896011724823, Score, -35.73000000000001, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 298.30638898970057, Score, -33.49333333333333, PathLength, 99.0,sOptimalBacktrackPath,Cost, 337.28119658546325, Score, -35.28666666666667, PathLength, 104.0,sBacktrackPath,Cost, 465.8922672678814, Score, -53.83333333333332, PathLength, 160.0,sLowEdgeCost,Cost, 314.0972408574458, Score, -33.52666666666668, PathLength, 99.0,sDepthFirstSearch,Cost, 516.299727762584, Score, -35.88333333333333, PathLength, 106.0,sBreadthFirstSearch,Cost, 706.5798440070773, Score, -111.13333333333334, PathLength, 332.0,sBreadthFirstSearchLowCost,Cost, 707.8111272370604, Score, -113.15333333333328, PathLength, 338.0,sLeastConnectedFirst,Cost, 438.755056059548, Score, -29.396666666666658, PathLength, 87.0,sMostConnectedFirst,Cost, 635.5552615495201, Score, -43.59333333333334, PathLength, 129.0,
hRandomSet,Cost, 46.54071172458351, Score, 53.57799999999998,sConstrainedRandomWalk,Cost, 530.577112512927, Score, -35.236666666666665, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 356.4100941942695, Score, -34.88333333333333, PathLength, 103.0,sOptimalBacktrackPath,Cost, 405.75046942776856, Score, -37.90333333333335, PathLength, 112.0,sBacktrackPath,Cost, 689.5250082053374, Score, -65.95333333333333, PathLength, 196.0,sLowEdgeCost,Cost, 369.95617206923436, Score, -35.57, PathLength, 105.0,sDepthFirstSearch,Cost, 496.39503247670257, Score, -33.22, PathLength, 98.0,sBreadthFirstSearch,Cost, 780.8115618097432, Score, -108.47000000000001, PathLength, 324.0,sBreadthFirstSearchLowCost,Cost, 807.5401337092585, Score, -113.31333333333333, PathLength, 338.0,sLeastConnectedFirst,Cost, 447.20248849932, Score, -29.31666666666667, PathLength, 86.0,sMostConnectedFirst,Cost, 621.7642793693212, Score, -41.91333333333333, PathLength, 124.0,
hRandomSet,Cost, 44.76599151183266, Score, 53.498999999999995,sConstrainedRandomWalk,Cost, 547.5547191278793, Score, -36.253333333333345, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 325.2984139075638, Score, -35.06666666666666, PathLength, 104.0,sOptimalBacktrackPath,Cost, 385.5595004373431, Score, -38.12, PathLength, 113.0,sBacktrackPath,Cost, 579.644469594385, Score, -60.06333333333333, PathLength, 179.0,sLowEdgeCost,Cost, 411.55403383395026, Score, -39.57666666666667, PathLength, 117.0,sDepthFirstSearch,Cost, 481.77462959949014, Score, -33.70666666666666, PathLength, 100.0,sBreadthFirstSearch,Cost, 791.3557945872857, Score, -117.29666666666661, PathLength, 350.0,sBreadthFirstSearchLowCost,Cost, 711.1258204786931, Score, -105.33333333333336, PathLength, 315.0,sLeastConnectedFirst,Cost, 448.0074086102278, Score, -30.319999999999997, PathLength, 89.0,sMostConnectedFirst,Cost, 596.8648538510636, Score, -39.25333333333333, PathLength, 116.0,
hRandomSet,Cost, 50.08689160225691, Score, 54.31,sConstrainedRandomWalk,Cost, 516.7963106183731, Score, -34.716666666666676, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 335.9979863545921, Score, -35.45333333333334, PathLength, 105.0,sOptimalBacktrackPath,Cost, 401.7244931564687, Score, -39.23333333333331, PathLength, 116.0,sBacktrackPath,Cost, 540.0524015912001, Score, -59.31666666666666, PathLength, 176.0,sLowEdgeCost,Cost, 398.43812669085185, Score, -38.959999999999994, PathLength, 115.0,sDepthFirstSearch,Cost, 524.4082825434789, Score, -35.74333333333335, PathLength, 106.0,sBreadthFirstSearch,Cost, 700.8478471048952, Score, -111.26000000000002, PathLength, 332.0,sBreadthFirstSearchLowCost,Cost, 728.1861748090384, Score, -116.56666666666662, PathLength, 348.0,sLeastConnectedFirst,Cost, 409.42026752341144, Score, -28.573333333333338, PathLength, 84.0,sMostConnectedFirst,Cost, 651.7401674808286, Score, -43.27666666666667, PathLength, 128.0,
hRandomSet,Cost, 44.37839179702123, Score, 56.215333333333355,sConstrainedRandomWalk,Cost, 627.6083255872247, Score, -42.41666666666666, PathLength, 126.0,sDepthFirstSearchLowCost,Cost, 327.7639459570039, Score, -34.44666666666667, PathLength, 102.0,sOptimalBacktrackPath,Cost, 394.11761000055344, Score, -38.373333333333335, PathLength, 114.0,sBacktrackPath,Cost, 485.01112153472445, Score, -53.14000000000001, PathLength, 158.0,sLowEdgeCost,Cost, 410.19970772985107, Score, -39.059999999999995, PathLength, 116.0,sDepthFirstSearch,Cost, 548.2451806683316, Score, -35.723333333333336, PathLength, 106.0,sBreadthFirstSearch,Cost, 786.1592692650147, Score, -117.09999999999998, PathLength, 350.0,sBreadthFirstSearchLowCost,Cost, 788.0898482476499, Score, -121.32999999999998, PathLength, 362.0,sLeastConnectedFirst,Cost, 466.49585966951867, Score, -30.05000000000002, PathLength, 89.0,sMostConnectedFirst,Cost, 737.0925200842415, Score, -50.51333333333333, PathLength, 150.0,
hRandomSet,Cost, 41.459365666376044, Score, 47.31266666666668,sConstrainedRandomWalk,Cost, 547.2796913479274, Score, -36.01333333333333, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 270.25230344672406, Score, -32.09000000000001, PathLength, 95.0,sOptimalBacktrackPath,Cost, 300.85671876089293, Score, -33.00000000000001, PathLength, 98.0,sBacktrackPath,Cost, 419.6714219573052, Score, -47.37333333333332, PathLength, 141.0,sLowEdgeCost,Cost, 331.3954966429647, Score, -34.99666666666666, PathLength, 103.0,sDepthFirstSearch,Cost, 490.7040472330627, Score, -32.739999999999995, PathLength, 97.0,sBreadthFirstSearch,Cost, 663.3759512891609, Score, -93.84333333333336, PathLength, 280.0,sBreadthFirstSearchLowCost,Cost, 648.999141167963, Score, -94.83333333333329, PathLength, 283.0,sLeastConnectedFirst,Cost, 446.1313142235269, Score, -29.486666666666665, PathLength, 87.0,sMostConnectedFirst,Cost, 589.7370164050747, Score, -38.74999999999999, PathLength, 115.0,
hRandomSet,Cost, 41.990503412541926, Score, 56.6546666666667,sConstrainedRandomWalk,Cost, 564.6478898796955, Score, -38.81333333333333, PathLength, 115.0,sDepthFirstSearchLowCost,Cost, 301.2509671652755, Score, -34.10333333333333, PathLength, 101.0,sOptimalBacktrackPath,Cost, 352.7337686609758, Score, -36.60666666666668, PathLength, 108.0,sBacktrackPath,Cost, 687.949345037144, Score, -70.16999999999997, PathLength, 209.0,sLowEdgeCost,Cost, 328.80881699522166, Score, -34.596666666666664, PathLength, 102.0,sDepthFirstSearch,Cost, 499.8295946932615, Score, -34.8, PathLength, 103.0,sBreadthFirstSearch,Cost, 691.6230611952274, Score, -129.46666666666667, PathLength, 387.0,sBreadthFirstSearchLowCost,Cost, 650.6823911541284, Score, -121.09666666666662, PathLength, 362.0,sLeastConnectedFirst,Cost, 387.14969091104774, Score, -27.93666666666667, PathLength, 82.0,sMostConnectedFirst,Cost, 566.3065203499777, Score, -38.95666666666665, PathLength, 115.0,
