[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 1.7864343715517466, Score, 52.061495457721875,sConstrainedRandomWalk,Cost, 45.04067248935487, Score, -61.09433962264149, PathLength, 96.0,sLowEdgeCost,Cost, 10.538150533425805, Score, -20.251572327044034, PathLength, 31.0,sDepthFirstSearch,Cost, 32.96491196511121, Score, -44.41509433962266, PathLength, 69.0,sDepthFirstSearchLowCost,Cost, 9.018253231502568, Score, -18.301886792452834, PathLength, 28.0,sBreadthFirstSearch,Cost, 36.273595216292286, Score, -81.39622641509438, PathLength, 128.0,sBreadthFirstSearchLowCost,Cost, 35.65816639760478, Score, -83.03144654088054, PathLength, 131.0,sBacktrackPath,Cost, 13.77073314374872, Score, -35.238993710691815, PathLength, 55.0,sLeastConnectedFirst,Cost, 41.779169178908234, Score, -57.2264150943396, PathLength, 89.0,sMostConnectedFirst,Cost, 50.02199066049673, Score, -67.59748427672957, PathLength, 106.0,
hMinimumConnectivity,Cost, 5.918387374506997, Score, 141.12229210342414,sConstrainedRandomWalk,Cost, 95.18731783057075, Score, -130.24528301886792, PathLength, 206.0,sLowEdgeCost,Cost, 85.7261425088539, Score, -126.50314465408806, PathLength, 200.0,sDepthFirstSearch,Cost, 71.14899711968629, Score, -93.23899371069179, PathLength, 147.0,sDepthFirstSearchLowCost,Cost, 58.34033355429301, Score, -86.0251572327044, PathLength, 135.0,sBreadthFirstSearch,Cost, 104.58937502768772, Score, -226.65408805031456, PathLength, 359.0,sBreadthFirstSearchLowCost,Cost, 95.0221829155032, Score, -209.1446540880503, PathLength, 331.0,sBacktrackPath,Cost, 107.23453979872318, Score, -191.49056603773596, PathLength, 303.0,sLeastConnectedFirst,Cost, 46.995929605662575, Score, -64.76100628930818, PathLength, 101.0,sMostConnectedFirst,Cost, 103.47964235843206, Score, -142.03773584905667, PathLength, 224.0,
hMaxDistance,Cost, 19.124499058433624, Score, 103.8756114605171,sConstrainedRandomWalk,Cost, 61.981841688144954, Score, -85.13836477987417, PathLength, 134.0,sLowEdgeCost,Cost, 59.56645756891207, Score, -91.8679245283019, PathLength, 145.0,sDepthFirstSearch,Cost, 52.51756129157303, Score, -68.55974842767294, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 49.23980531679351, Score, -74.22012578616355, PathLength, 117.0,sBreadthFirstSearch,Cost, 73.22487965170316, Score, -158.9119496855346, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 72.991772060611, Score, -162.55345911949686, PathLength, 257.0,sBacktrackPath,Cost, 70.24553126533777, Score, -135.93081761006295, PathLength, 215.0,sLeastConnectedFirst,Cost, 48.68469530500606, Score, -67.29559748427671, PathLength, 106.0,sMostConnectedFirst,Cost, 65.72738200305098, Score, -90.40251572327047, PathLength, 142.0,
hRandom,Cost, 2.5565201521172636, Score, 95.60402684563756,sConstrainedRandomWalk,Cost, 57.83697198715258, Score, -75.10067114093962, PathLength, 110.0,sLowEdgeCost,Cost, 66.16463174922299, Score, -97.62416107382548, PathLength, 144.0,sDepthFirstSearch,Cost, 54.45120081373911, Score, -67.7718120805369, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 44.06410825148928, Score, -67.85234899328857, PathLength, 100.0,sBreadthFirstSearch,Cost, 66.50819964738982, Score, -113.85906040268455, PathLength, 168.0,sBreadthFirstSearchLowCost,Cost, 72.53375698344433, Score, -129.3959731543624, PathLength, 191.0,sBacktrackPath,Cost, 91.21953772908795, Score, -145.50335570469792, PathLength, 215.0,sLeastConnectedFirst,Cost, 61.674061551096365, Score, -77.44966442953024, PathLength, 114.0,sMostConnectedFirst,Cost, 65.67276165608634, Score, -85.8791946308725, PathLength, 126.0,
hRandomDirection,Cost, 1.102639218627492, Score, 98.54213273676359,sConstrainedRandomWalk,Cost, 61.1421289508301, Score, -80.00671140939599, PathLength, 118.0,sLowEdgeCost,Cost, 55.71595218756985, Score, -83.86577181208052, PathLength, 123.0,sDepthFirstSearch,Cost, 54.29176107458229, Score, -67.55704697986579, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 44.257158283265355, Score, -67.6040268456376, PathLength, 99.0,sBreadthFirstSearch,Cost, 81.72048854634392, Score, -137.27516778523488, PathLength, 203.0,sBreadthFirstSearchLowCost,Cost, 80.47030593182205, Score, -141.91946308724832, PathLength, 210.0,sBacktrackPath,Cost, 88.20142636386385, Score, -142.8322147651007, PathLength, 211.0,sLeastConnectedFirst,Cost, 52.458261090358576, Score, -65.88590604026845, PathLength, 97.0,sMostConnectedFirst,Cost, 76.2634129124604, Score, -99.93288590604028, PathLength, 147.0,
hRandomSet,Cost, 5.519404647727008, Score, 130.59433258762112,sConstrainedRandomWalk,Cost, 91.31538812596004, Score, -117.37583892617448, PathLength, 173.0,sLowEdgeCost,Cost, 80.1562176149966, Score, -114.40268456375836, PathLength, 169.0,sDepthFirstSearch,Cost, 74.26955297492673, Score, -93.79865771812081, PathLength, 138.0,sDepthFirstSearchLowCost,Cost, 65.89673343238933, Score, -95.46979865771813, PathLength, 141.0,sBreadthFirstSearch,Cost, 102.070782552365, Score, -171.22147651006716, PathLength, 254.0,sBreadthFirstSearchLowCost,Cost, 96.39276519762176, Score, -169.06711409395973, PathLength, 250.0,sBacktrackPath,Cost, 120.394150057312, Score, -187.41610738255025, PathLength, 278.0,sLeastConnectedFirst,Cost, 71.14444012322888, Score, -89.30872483221475, PathLength, 132.0,sMostConnectedFirst,Cost, 104.978146166465, Score, -137.2885906040269, PathLength, 203.0,
hRandomFixedDistance,Cost, 15.730149988247229, Score, 107.93959731543632,sConstrainedRandomWalk,Cost, 74.37793513072626, Score, -96.0268456375839, PathLength, 142.0,sLowEdgeCost,Cost, 62.534597047340306, Score, -93.95302013422815, PathLength, 138.0,sDepthFirstSearch,Cost, 55.36916398243231, Score, -68.63087248322147, PathLength, 101.0,sDepthFirstSearchLowCost,Cost, 43.38077070575088, Score, -67.18791946308724, PathLength, 99.0,sBreadthFirstSearch,Cost, 90.90842739811119, Score, -151.7046979865772, PathLength, 225.0,sBreadthFirstSearchLowCost,Cost, 86.90217227747438, Score, -153.08053691275165, PathLength, 227.0,sBacktrackPath,Cost, 103.75448492304285, Score, -163.7718120805369, PathLength, 243.0,sLeastConnectedFirst,Cost, 62.652596594205285, Score, -78.06711409395973, PathLength, 115.0,sMostConnectedFirst,Cost, 76.00932880963427, Score, -99.03355704697982, PathLength, 146.0,
hLowEdgeCostRandomFixedDistance,Cost, 6.622811491588391, Score, 89.889634601044,sConstrainedRandomWalk,Cost, 67.49343946609662, Score, -87.1879194630873, PathLength, 128.0,sLowEdgeCost,Cost, 18.39671870560923, Score, -35.34228187919462, PathLength, 51.0,sDepthFirstSearch,Cost, 64.8435391814923, Score, -81.77852348993291, PathLength, 120.0,sDepthFirstSearchLowCost,Cost, 30.39915561451379, Score, -49.16778523489933, PathLength, 72.0,sBreadthFirstSearch,Cost, 85.29260858592163, Score, -142.60402684563758, PathLength, 211.0,sBreadthFirstSearchLowCost,Cost, 73.69464541697918, Score, -130.69127516778525, PathLength, 193.0,sBacktrackPath,Cost, 72.37499258539445, Score, -115.12751677852346, PathLength, 170.0,sLeastConnectedFirst,Cost, 63.9649714991294, Score, -80.3691275167785, PathLength, 118.0,sMostConnectedFirst,Cost, 67.12201089454996, Score, -86.73825503355705, PathLength, 128.0,
hMinimumConnectivity,Cost, 9.126146610273166, Score, 175.36539895600293,sConstrainedRandomWalk,Cost, 125.94572954361125, Score, -163.87248322147653, PathLength, 243.0,sLowEdgeCost,Cost, 106.42489885489266, Score, -147.23489932885906, PathLength, 218.0,sDepthFirstSearch,Cost, 81.97490865753994, Score, -103.71812080536905, PathLength, 153.0,sDepthFirstSearchLowCost,Cost, 67.77074475373341, Score, -97.3758389261745, PathLength, 144.0,sBreadthFirstSearch,Cost, 140.97973759866144, Score, -233.3087248322148, PathLength, 346.0,sBreadthFirstSearchLowCost,Cost, 147.73805869215283, Score, -253.22818791946312, PathLength, 376.0,sBacktrackPath,Cost, 220.1993638334786, Score, -323.16107382550314, PathLength, 480.0,sLeastConnectedFirst,Cost, 67.98269493940477, Score, -85.67785234899331, PathLength, 126.0,sMostConnectedFirst,Cost, 132.09451513845934, Score, -170.71140939597313, PathLength, 253.0,
hMaxDistance,Cost, 105.29606368252169, Score, 120.6099925428784,sConstrainedRandomWalk,Cost, 88.33370266364349, Score, -114.22147651006709, PathLength, 169.0,sLowEdgeCost,Cost, 67.8278724140377, Score, -100.20134228187915, PathLength, 148.0,sDepthFirstSearch,Cost, 69.95832564932537, Score, -87.79194630872486, PathLength, 129.0,sDepthFirstSearchLowCost,Cost, 55.02965695914781, Score, -82.13422818791949, PathLength, 121.0,sBreadthFirstSearch,Cost, 94.21842394882965, Score, -158.41610738255042, PathLength, 235.0,sBreadthFirstSearchLowCost,Cost, 98.74362004454953, Score, -173.01342281879195, PathLength, 256.0,sBacktrackPath,Cost, 103.1474635684282, Score, -163.43624161073822, PathLength, 242.0,sLeastConnectedFirst,Cost, 68.04563709802085, Score, -85.54362416107382, PathLength, 126.0,sMostConnectedFirst,Cost, 92.65319145459664, Score, -120.73154362416102, PathLength, 178.0,
