[100, [RandomSet,1][MinimumConnectivity,1][MaxDistance,1][Random,1][RandomDirection,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 16707.56694733538, Score, 70.28666666666668, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 11, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 992.2708606756079, Score, -70.28666666666668, PathLength, 209.0,
hMaxDistance,Cost, 309.78354196639043, Score, 34.18666666666667, GraphDiameter, 5.0,sConstrainedRandomWalk,Cost, 483.3702599821196, Score, -34.18666666666667, PathLength, 101.0,
hRandom,Cost, 42.2883133384378, Score, 34.11333333333333,sConstrainedRandomWalk,Cost, 479.58731500183944, Score, -34.11333333333333, PathLength, 101.0,
hRandomDirection,Cost, 18.75365497010431, Score, 31.013333333333335,sConstrainedRandomWalk,Cost, 439.3480243274755, Score, -31.013333333333335, PathLength, 92.0,
hRandomFixedDistance,Cost, 159.710179335421, Score, 32.92999999999999,sConstrainedRandomWalk,Cost, 467.31538901448556, Score, -32.92999999999999, PathLength, 97.0,
hLowEdgeCostRandomFixedDistance,Cost, 91.13158225284235, Score, 31.87666666666668,sConstrainedRandomWalk,Cost, 447.90274578764166, Score, -31.87666666666668, PathLength, 94.0,
hRandomSet,Cost, 46.49513716977761, Score, 34.800000000000004,sConstrainedRandomWalk,Cost, 543.8812892467317, Score, -34.800000000000004, PathLength, 103.0,
hMinimumConnectivity,Cost, 4872.634876790701, Score, 58.83, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 2, NumberOfLeastConnectedNodes, 4, DegreeOfMostConnectedNodes, 11, NumberOfMostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 914.3601001229376, Score, -58.83, PathLength, 175.0,
hMaxDistance,Cost, 668.4469065335275, Score, 34.02, GraphDiameter, 5.0,sConstrainedRandomWalk,Cost, 527.7551949693801, Score, -34.02, PathLength, 101.0,
hRandom,Cost, 46.55003138139486, Score, 31.056666666666665,sConstrainedRandomWalk,Cost, 478.0392914926381, Score, -31.056666666666665, PathLength, 92.0,
hRandomDirection,Cost, 20.50395418459556, Score, 32.11333333333333,sConstrainedRandomWalk,Cost, 496.42379725269586, Score, -32.11333333333333, PathLength, 95.0,
hRandomFixedDistance,Cost, 151.7194880612737, Score, 30.83333333333334,sConstrainedRandomWalk,Cost, 480.86782305907235, Score, -30.83333333333334, PathLength, 91.0,
hLowEdgeCostRandomFixedDistance,Cost, 15.359698036171231, Score, 32.33,sConstrainedRandomWalk,Cost, 499.8491569296165, Score, -32.33, PathLength, 95.0,
hRandomSet,Cost, 41.066185364050256, Score, 34.57666666666666,sConstrainedRandomWalk,Cost, 493.2358410011677, Score, -34.57666666666666, PathLength, 102.0,
hMinimumConnectivity,Cost, 9193.874166913602, Score, 47.91999999999997, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 2, NumberOfLeastConnectedNodes, 3, DegreeOfMostConnectedNodes, 11, NumberOfMostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 684.9493132137043, Score, -47.91999999999997, PathLength, 142.0,
hMaxDistance,Cost, 123.87520295035583, Score, 34.43666666666667, GraphDiameter, 4.0,sConstrainedRandomWalk,Cost, 489.6859990107216, Score, -34.43666666666667, PathLength, 102.0,
hRandom,Cost, 43.0657806972608, Score, 32.19,sConstrainedRandomWalk,Cost, 459.28169292098676, Score, -32.19, PathLength, 95.0,
hRandomDirection,Cost, 20.67513640855325, Score, 31.21666666666667,sConstrainedRandomWalk,Cost, 447.03593623367595, Score, -31.21666666666667, PathLength, 92.0,
hRandomFixedDistance,Cost, 17.914657205897413, Score, 30.460000000000015,sConstrainedRandomWalk,Cost, 432.0186780090889, Score, -30.460000000000015, PathLength, 90.0,
hLowEdgeCostRandomFixedDistance,Cost, 37.945984481697145, Score, 33.51000000000002,sConstrainedRandomWalk,Cost, 472.068061861631, Score, -33.51000000000002, PathLength, 99.0,
hRandomSet,Cost, 38.28018048551873, Score, 34.70333333333333,sConstrainedRandomWalk,Cost, 503.38592492460407, Score, -34.70333333333333, PathLength, 103.0,
hMinimumConnectivity,Cost, 17427.218734147606, Score, 57.79333333333334, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 13, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 837.8048941641506, Score, -57.79333333333334, PathLength, 172.0,
hMaxDistance,Cost, 2021.9711835484195, Score, 33.273333333333326, GraphDiameter, 6.0,sConstrainedRandomWalk,Cost, 480.8226232680174, Score, -33.273333333333326, PathLength, 98.0,
hRandom,Cost, 44.258116792421994, Score, 31.733333333333334,sConstrainedRandomWalk,Cost, 455.5816724446402, Score, -31.733333333333334, PathLength, 94.0,
hRandomDirection,Cost, 20.498965607778217, Score, 30.64666666666666,sConstrainedRandomWalk,Cost, 441.0420870497531, Score, -30.64666666666666, PathLength, 90.0,
hRandomFixedDistance,Cost, 68.85288138690868, Score, 31.176666666666662,sConstrainedRandomWalk,Cost, 454.66306491484016, Score, -31.176666666666662, PathLength, 92.0,
hLowEdgeCostRandomFixedDistance,Cost, 13.156090824541481, Score, 34.44999999999999,sConstrainedRandomWalk,Cost, 504.9399183391747, Score, -34.44999999999999, PathLength, 102.0,
hRandomSet,Cost, 46.86166870058823, Score, 35.16333333333334,sConstrainedRandomWalk,Cost, 542.1143718816303, Score, -35.16333333333334, PathLength, 104.0,
hMinimumConnectivity,Cost, 15319.522473006233, Score, 76.55999999999999, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 11, NumberOfMostConnectedNodes, 4,sConstrainedRandomWalk,Cost, 1191.7191996600823, Score, -76.55999999999999, PathLength, 228.0,
