[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 7.29017841102197, Score, 118.34436619718306,sRandomWalk,Cost, 213.66718364169535, Score, -286.6056338028169, PathLength, 405.0,sConstrainedRandomWalk,Cost, 80.68077937266052, Score, -108.02112676056336, PathLength, 152.0,sLowEdgeCost,Cost, 20.62478101086298, Score, -39.27464788732394, PathLength, 54.0,sDepthFirstSearch,Cost, 78.97883459106659, Score, -106.72535211267603, PathLength, 150.0,sDepthFirstSearchLowCost,Cost, 21.600778345548388, Score, -41.014084507042256, PathLength, 57.0,sBreadthFirstSearch,Cost, 89.66875902441765, Score, -138.70422535211273, PathLength, 195.0,sBreadthFirstSearchLowCost,Cost, 83.63012861848718, Score, -135.40845070422537, PathLength, 191.0,sBacktrackPath,Cost, 54.01075839362674, Score, -99.35211267605636, PathLength, 140.0,sLeastConnectedFirst,Cost, 74.95600120013836, Score, -99.32394366197188, PathLength, 140.0,sMostConnectedFirst,Cost, 96.84421909120464, Score, -129.01408450704224, PathLength, 182.0,
hMinimumConnectivity,Cost, 17.820425926992172, Score, 238.28661971830985,sRandomWalk,Cost, 487.11113787290384, Score, -655.7887323943664, PathLength, 930.0,sConstrainedRandomWalk,Cost, 145.46282262758913, Score, -195.71126760563374, PathLength, 276.0,sLowEdgeCost,Cost, 154.56167085881873, Score, -217.6197183098592, PathLength, 308.0,sDepthFirstSearch,Cost, 88.51635806139228, Score, -119.47183098591553, PathLength, 168.0,sDepthFirstSearchLowCost,Cost, 82.32893604302632, Score, -121.14084507042253, PathLength, 171.0,sBreadthFirstSearch,Cost, 144.87909728821924, Score, -223.18309859154928, PathLength, 315.0,sBreadthFirstSearchLowCost,Cost, 153.28240959813084, Score, -242.27464788732405, PathLength, 343.0,sBacktrackPath,Cost, 169.89020887277533, Score, -253.3309859154929, PathLength, 358.0,sLeastConnectedFirst,Cost, 80.6146854663522, Score, -107.78169014084507, PathLength, 152.0,sMostConnectedFirst,Cost, 185.3842507150152, Score, -246.56338028169012, PathLength, 349.0,
hMaxDistance,Cost, 232.91555765370765, Score, 165.61619718309862,sRandomWalk,Cost, 299.84371926833126, Score, -403.8732394366197, PathLength, 572.0,sConstrainedRandomWalk,Cost, 87.02460568592886, Score, -117.23943661971835, PathLength, 165.0,sLowEdgeCost,Cost, 87.6066471654586, Score, -132.11267605633802, PathLength, 186.0,sDepthFirstSearch,Cost, 82.42869102657559, Score, -111.5211267605634, PathLength, 157.0,sDepthFirstSearchLowCost,Cost, 69.1032766865642, Score, -105.19718309859155, PathLength, 148.0,sBreadthFirstSearch,Cost, 106.80442985401545, Score, -165.52112676056345, PathLength, 234.0,sBreadthFirstSearchLowCost,Cost, 103.1078875634634, Score, -166.14788732394368, PathLength, 234.0,sBacktrackPath,Cost, 132.88718047830724, Score, -204.41549295774638, PathLength, 289.0,sLeastConnectedFirst,Cost, 80.85034092754282, Score, -107.69718309859152, PathLength, 151.0,sMostConnectedFirst,Cost, 106.30165440382028, Score, -142.43661971830988, PathLength, 201.0,
hRandom,Cost, 5.25767529257654, Score, 168.32857142857145,sRandomWalk,Cost, 243.48444397644107, Score, -345.2285714285715, PathLength, 482.0,sConstrainedRandomWalk,Cost, 93.88355770500253, Score, -132.11428571428578, PathLength, 183.0,sLowEdgeCost,Cost, 87.23822870376124, Score, -135.65714285714282, PathLength, 188.0,sDepthFirstSearch,Cost, 62.43681183385283, Score, -90.08571428571429, PathLength, 125.0,sDepthFirstSearchLowCost,Cost, 51.990461131694786, Score, -89.21428571428572, PathLength, 123.0,sBreadthFirstSearch,Cost, 111.40317260890106, Score, -220.58571428571432, PathLength, 307.0,sBreadthFirstSearchLowCost,Cost, 113.41178532257483, Score, -220.85000000000002, PathLength, 308.0,sBacktrackPath,Cost, 113.71892003653078, Score, -208.04285714285734, PathLength, 290.0,sLeastConnectedFirst,Cost, 72.39104317830862, Score, -102.03571428571428, PathLength, 141.0,sMostConnectedFirst,Cost, 98.697507178551, Score, -139.47142857142865, PathLength, 194.0,
hRandomDirection,Cost, 2.2029557589753943, Score, 163.6764285714285,sRandomWalk,Cost, 297.72105923491296, Score, -422.3857142857143, PathLength, 590.0,sConstrainedRandomWalk,Cost, 78.14971931460808, Score, -109.83571428571423, PathLength, 152.0,sLowEdgeCost,Cost, 77.7626781674407, Score, -123.95714285714291, PathLength, 172.0,sDepthFirstSearch,Cost, 55.73382891033512, Score, -80.35714285714283, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 47.814880075447974, Score, -82.68571428571425, PathLength, 114.0,sBreadthFirstSearch,Cost, 101.77300558262341, Score, -199.62857142857146, PathLength, 278.0,sBreadthFirstSearchLowCost,Cost, 102.35175748516717, Score, -201.10714285714283, PathLength, 280.0,sBacktrackPath,Cost, 102.086154396041, Score, -190.41428571428568, PathLength, 265.0,sLeastConnectedFirst,Cost, 62.097844058418644, Score, -87.8142857142857, PathLength, 121.0,sMostConnectedFirst,Cost, 97.18107655853117, Score, -138.57857142857142, PathLength, 193.0,
hRandomSet,Cost, 9.90490313682001, Score, 242.2771428571429,sRandomWalk,Cost, 407.1293607407062, Score, -581.0428571428572, PathLength, 812.0,sConstrainedRandomWalk,Cost, 117.13862259008661, Score, -164.50714285714284, PathLength, 229.0,sLowEdgeCost,Cost, 119.09757929808868, Score, -179.43571428571423, PathLength, 250.0,sDepthFirstSearch,Cost, 82.62967289364283, Score, -118.74285714285713, PathLength, 165.0,sDepthFirstSearchLowCost,Cost, 71.13960243477287, Score, -114.89999999999998, PathLength, 159.0,sBreadthFirstSearch,Cost, 152.90111180691795, Score, -300.18571428571425, PathLength, 419.0,sBreadthFirstSearchLowCost,Cost, 152.67731546568405, Score, -294.6428571428572, PathLength, 411.0,sBacktrackPath,Cost, 193.03311396175036, Score, -328.1214285714286, PathLength, 458.0,sLeastConnectedFirst,Cost, 93.65187402633599, Score, -129.24285714285713, PathLength, 179.0,sMostConnectedFirst,Cost, 149.9283201432218, Score, -211.95000000000005, PathLength, 295.0,
hRandomFixedDistance,Cost, 7.314132506246031, Score, 181.32642857142864,sRandomWalk,Cost, 296.23058621264937, Score, -424.89285714285694, PathLength, 593.0,sConstrainedRandomWalk,Cost, 102.57668366764302, Score, -144.24285714285713, PathLength, 200.0,sLowEdgeCost,Cost, 97.13534646888994, Score, -149.34285714285713, PathLength, 208.0,sDepthFirstSearch,Cost, 59.67322835833859, Score, -86.11428571428573, PathLength, 119.0,sDepthFirstSearchLowCost,Cost, 51.882789041858565, Score, -88.82857142857145, PathLength, 123.0,sBreadthFirstSearch,Cost, 118.30132325784291, Score, -233.55000000000007, PathLength, 325.0,sBreadthFirstSearchLowCost,Cost, 114.97130176838341, Score, -226.80714285714285, PathLength, 316.0,sBacktrackPath,Cost, 108.55015562873484, Score, -199.61428571428561, PathLength, 278.0,sLeastConnectedFirst,Cost, 71.72494847928563, Score, -99.9642857142857, PathLength, 138.0,sMostConnectedFirst,Cost, 114.23046762752138, Score, -159.90714285714287, PathLength, 222.0,
hLowEdgeCostRandomFixedDistance,Cost, 5.103125750663512, Score, 136.64999999999998,sRandomWalk,Cost, 224.50153055042404, Score, -321.4142857142856, PathLength, 448.0,sConstrainedRandomWalk,Cost, 97.33612342699693, Score, -137.3142857142857, PathLength, 191.0,sLowEdgeCost,Cost, 42.71153244867634, Score, -74.5, PathLength, 103.0,sDepthFirstSearch,Cost, 56.9622886801908, Score, -82.37142857142855, PathLength, 114.0,sDepthFirstSearchLowCost,Cost, 27.382617636154674, Score, -54.27857142857141, PathLength, 74.0,sBreadthFirstSearch,Cost, 90.78692118120358, Score, -180.48571428571424, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 91.77338813750363, Score, -181.85714285714286, PathLength, 253.0,sBacktrackPath,Cost, 38.00261792054855, Score, -84.60714285714288, PathLength, 117.0,sLeastConnectedFirst,Cost, 69.54569284158651, Score, -97.30714285714289, PathLength, 135.0,sMostConnectedFirst,Cost, 108.91917512432134, Score, -152.3642857142857, PathLength, 212.0,
hMinimumConnectivity,Cost, 14.853245996277062, Score, 294.84642857142853,sRandomWalk,Cost, 494.4142040745641, Score, -706.7642857142855, PathLength, 988.0,sConstrainedRandomWalk,Cost, 153.81392189673537, Score, -215.66428571428568, PathLength, 300.0,sLowEdgeCost,Cost, 133.88539193213276, Score, -199.08571428571435, PathLength, 277.0,sDepthFirstSearch,Cost, 82.83802678049224, Score, -119.15714285714284, PathLength, 165.0,sDepthFirstSearchLowCost,Cost, 75.43726038817704, Score, -120.12857142857143, PathLength, 167.0,sBreadthFirstSearch,Cost, 207.15913094925057, Score, -406.60000000000014, PathLength, 568.0,sBreadthFirstSearchLowCost,Cost, 195.19934487443294, Score, -375.5857142857143, PathLength, 524.0,sBacktrackPath,Cost, 254.25617395609473, Score, -420.18571428571414, PathLength, 587.0,sLeastConnectedFirst,Cost, 82.16129342915656, Score, -114.15714285714283, PathLength, 158.0,sMostConnectedFirst,Cost, 191.659461589177, Score, -271.1357142857143, PathLength, 378.0,
hMaxDistance,Cost, 222.85135237105158, Score, 212.35642857142858,sRandomWalk,Cost, 355.6326785758161, Score, -505.10000000000014, PathLength, 706.0,sConstrainedRandomWalk,Cost, 109.6933073672253, Score, -153.71428571428575, PathLength, 214.0,sLowEdgeCost,Cost, 100.35775421646362, Score, -152.65714285714287, PathLength, 212.0,sDepthFirstSearch,Cost, 71.68066531803832, Score, -103.35714285714285, PathLength, 143.0,sDepthFirstSearchLowCost,Cost, 62.60963450484038, Score, -103.4214285714286, PathLength, 143.0,sBreadthFirstSearch,Cost, 148.54791388006387, Score, -291.5071428571428, PathLength, 407.0,sBreadthFirstSearchLowCost,Cost, 152.0819238965296, Score, -296.07857142857154, PathLength, 413.0,sBacktrackPath,Cost, 121.67717720781847, Score, -222.2428571428571, PathLength, 310.0,sLeastConnectedFirst,Cost, 91.25900592248848, Score, -127.42857142857137, PathLength, 177.0,sMostConnectedFirst,Cost, 119.07093245333608, Score, -168.05714285714282, PathLength, 234.0,
