[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 7.111817285422644, Score, 52.50933333333335,sRandomWalk,Cost, 176.0708100524359, Score, -115.86666666666665, PathLength, 346.0,sConstrainedRandomWalk,Cost, 56.86079117125078, Score, -38.330000000000005, PathLength, 113.0,sLowEdgeCost,Cost, 18.38096432614084, Score, -22.996666666666666, PathLength, 67.0,sDepthFirstSearch,Cost, 48.74803341108392, Score, -33.766666666666666, PathLength, 100.0,sDepthFirstSearchLowCost,Cost, 19.652385240764694, Score, -24.210000000000004, PathLength, 71.0,sBreadthFirstSearch,Cost, 67.50543077252088, Score, -92.95333333333333, PathLength, 277.0,sBreadthFirstSearchLowCost,Cost, 62.61870170357058, Score, -87.60999999999999, PathLength, 261.0,sBacktrackPath,Cost, 32.08675924554995, Score, -37.25000000000001, PathLength, 110.0,sLeastConnectedFirst,Cost, 45.93483120535591, Score, -31.179999999999996, PathLength, 92.0,sMostConnectedFirst,Cost, 61.47529332320021, Score, -40.92999999999999, PathLength, 121.0,
hMinimumConnectivity,Cost, 2042.6040756827604, Score, 97.42766666666668,sRandomWalk,Cost, 481.20995123435154, Score, -314.94333333333344, PathLength, 943.0,sConstrainedRandomWalk,Cost, 92.75836837964196, Score, -61.816666666666706, PathLength, 184.0,sLowEdgeCost,Cost, 44.40394917317599, Score, -42.62000000000002, PathLength, 126.0,sDepthFirstSearch,Cost, 65.72527141156685, Score, -44.780000000000015, PathLength, 133.0,sDepthFirstSearchLowCost,Cost, 40.10631807334931, Score, -40.98666666666666, PathLength, 121.0,sBreadthFirstSearch,Cost, 109.52844470700308, Score, -152.2, PathLength, 455.0,sBreadthFirstSearchLowCost,Cost, 114.13259050227603, Score, -161.3966666666667, PathLength, 483.0,sBacktrackPath,Cost, 50.916466808607176, Score, -53.213333333333324, PathLength, 158.0,sLeastConnectedFirst,Cost, 39.61412251578792, Score, -26.94000000000002, PathLength, 79.0,sMostConnectedFirst,Cost, 113.57401516236678, Score, -75.38, PathLength, 225.0,
hMaxDistance,Cost, 186.68110567904515, Score, 55.733666666666664,sRandomWalk,Cost, 188.8920722789735, Score, -123.49666666666668, PathLength, 369.0,sConstrainedRandomWalk,Cost, 46.682462013744015, Score, -31.65, PathLength, 93.0,sLowEdgeCost,Cost, 28.926494978511766, Score, -31.979999999999986, PathLength, 94.0,sDepthFirstSearch,Cost, 48.93932876666308, Score, -33.87333333333333, PathLength, 100.0,sDepthFirstSearchLowCost,Cost, 28.682222431146382, Score, -32.24333333333335, PathLength, 95.0,sBreadthFirstSearch,Cost, 67.70357182870845, Score, -92.94666666666666, PathLength, 277.0,sBreadthFirstSearchLowCost,Cost, 69.58575441605946, Score, -99.26666666666664, PathLength, 296.0,sBacktrackPath,Cost, 42.06300350690692, Score, -45.14333333333333, PathLength, 134.0,sLeastConnectedFirst,Cost, 45.37605886145216, Score, -30.75666666666666, PathLength, 91.0,sMostConnectedFirst,Cost, 54.676557169957334, Score, -35.980000000000004, PathLength, 106.0,
hRandom,Cost, 4.556888210852387, Score, 50.88133333333336,sRandomWalk,Cost, 127.93798428189756, Score, -85.35, PathLength, 255.0,sConstrainedRandomWalk,Cost, 45.671600702834795, Score, -31.18666666666667, PathLength, 92.0,sLowEdgeCost,Cost, 27.90510383799491, Score, -31.153333333333325, PathLength, 92.0,sDepthFirstSearch,Cost, 45.549459100521204, Score, -29.753333333333327, PathLength, 88.0,sDepthFirstSearchLowCost,Cost, 26.400836098543934, Score, -30.48333333333333, PathLength, 90.0,sBreadthFirstSearch,Cost, 55.56335980063026, Score, -91.86666666666667, PathLength, 274.0,sBreadthFirstSearchLowCost,Cost, 58.32487789031723, Score, -93.96666666666664, PathLength, 280.0,sBacktrackPath,Cost, 42.83930422311514, Score, -46.35666666666667, PathLength, 138.0,sLeastConnectedFirst,Cost, 47.181472796900486, Score, -32.040000000000006, PathLength, 95.0,sMostConnectedFirst,Cost, 55.054934179858826, Score, -36.65666666666668, PathLength, 108.0,
hRandomDirection,Cost, 2.105710569217724, Score, 51.550999999999995,sRandomWalk,Cost, 141.3857588465404, Score, -95.54999999999998, PathLength, 285.0,sConstrainedRandomWalk,Cost, 46.73101283467392, Score, -31.74, PathLength, 94.0,sLowEdgeCost,Cost, 27.751304685924737, Score, -30.85333333333332, PathLength, 91.0,sDepthFirstSearch,Cost, 46.64381080274842, Score, -30.629999999999995, PathLength, 90.0,sDepthFirstSearchLowCost,Cost, 25.129104943682428, Score, -29.586666666666666, PathLength, 87.0,sBreadthFirstSearch,Cost, 57.87809146317473, Score, -93.87999999999994, PathLength, 280.0,sBreadthFirstSearchLowCost,Cost, 53.390767935252164, Score, -87.67333333333335, PathLength, 262.0,sBacktrackPath,Cost, 45.46149559635816, Score, -48.41333333333334, PathLength, 144.0,sLeastConnectedFirst,Cost, 46.17775322450937, Score, -31.466666666666665, PathLength, 93.0,sMostConnectedFirst,Cost, 53.29147774346224, Score, -35.71666666666666, PathLength, 106.0,
hRandomSet,Cost, 4.48645159064472, Score, 59.14099999999999,sRandomWalk,Cost, 170.00976223197307, Score, -113.57333333333331, PathLength, 339.0,sConstrainedRandomWalk,Cost, 52.15991430864141, Score, -35.66666666666666, PathLength, 106.0,sLowEdgeCost,Cost, 32.506884933912346, Score, -34.34, PathLength, 102.0,sDepthFirstSearch,Cost, 50.40347827706577, Score, -33.14000000000001, PathLength, 98.0,sDepthFirstSearchLowCost,Cost, 28.688099925842547, Score, -32.146666666666654, PathLength, 95.0,sBreadthFirstSearch,Cost, 68.05930840562718, Score, -112.12666666666662, PathLength, 335.0,sBreadthFirstSearchLowCost,Cost, 67.18536320703959, Score, -109.30999999999999, PathLength, 326.0,sBacktrackPath,Cost, 44.43288424716948, Score, -48.14333333333336, PathLength, 143.0,sLeastConnectedFirst,Cost, 42.39141502837988, Score, -29.03333333333332, PathLength, 86.0,sMostConnectedFirst,Cost, 65.31749142262197, Score, -43.92999999999998, PathLength, 130.0,
hRandomFixedDistance,Cost, 9.659552323350804, Score, 51.73099999999999,sRandomWalk,Cost, 139.15731607391575, Score, -92.68000000000004, PathLength, 277.0,sConstrainedRandomWalk,Cost, 47.90933917464727, Score, -32.33333333333334, PathLength, 96.0,sLowEdgeCost,Cost, 25.901389690670257, Score, -29.74666666666666, PathLength, 88.0,sDepthFirstSearch,Cost, 47.232445475154115, Score, -31.106666666666666, PathLength, 92.0,sDepthFirstSearchLowCost,Cost, 25.81573129074812, Score, -30.206666666666685, PathLength, 89.0,sBreadthFirstSearch,Cost, 62.462007545741834, Score, -100.93666666666667, PathLength, 301.0,sBreadthFirstSearchLowCost,Cost, 60.20019497589663, Score, -97.57333333333341, PathLength, 291.0,sBacktrackPath,Cost, 33.48152982126442, Score, -39.3, PathLength, 116.0,sLeastConnectedFirst,Cost, 44.18029803795262, Score, -30.329999999999995, PathLength, 89.0,sMostConnectedFirst,Cost, 49.51872438880011, Score, -33.09666666666667, PathLength, 98.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.6983171228860179, Score, 47.192000000000014,sRandomWalk,Cost, 144.07267395644422, Score, -96.28666666666665, PathLength, 287.0,sConstrainedRandomWalk,Cost, 45.92882927262128, Score, -31.37666666666668, PathLength, 93.0,sLowEdgeCost,Cost, 17.211317936600402, Score, -21.326666666666664, PathLength, 62.0,sDepthFirstSearch,Cost, 47.75003253019908, Score, -31.30666666666667, PathLength, 92.0,sDepthFirstSearchLowCost,Cost, 14.994080102616378, Score, -20.173333333333332, PathLength, 59.0,sBreadthFirstSearch,Cost, 56.092836650691886, Score, -91.74333333333335, PathLength, 274.0,sBreadthFirstSearchLowCost,Cost, 51.41104458904283, Score, -82.17666666666666, PathLength, 245.0,sBacktrackPath,Cost, 26.0569482590429, Score, -30.83000000000001, PathLength, 91.0,sLeastConnectedFirst,Cost, 44.8371959029303, Score, -30.42999999999998, PathLength, 90.0,sMostConnectedFirst,Cost, 54.17795281064849, Score, -36.269999999999996, PathLength, 107.0,
hMinimumConnectivity,Cost, 1345.7432357697116, Score, 130.5756666666667,sRandomWalk,Cost, 601.864603708576, Score, -401.79333333333335, PathLength, 1204.0,sConstrainedRandomWalk,Cost, 113.4821329280422, Score, -76.28, PathLength, 227.0,sLowEdgeCost,Cost, 108.26812550289225, Score, -85.5166666666667, PathLength, 255.0,sDepthFirstSearch,Cost, 74.74007008148979, Score, -48.62666666666666, PathLength, 144.0,sDepthFirstSearchLowCost,Cost, 53.492805681345956, Score, -53.77333333333333, PathLength, 160.0,sBreadthFirstSearch,Cost, 125.8663918821654, Score, -206.92666666666676, PathLength, 619.0,sBreadthFirstSearchLowCost,Cost, 118.85103167702721, Score, -192.94333333333336, PathLength, 577.0,sBacktrackPath,Cost, 121.8271674802006, Score, -108.16666666666664, PathLength, 323.0,sLeastConnectedFirst,Cost, 47.03543658780805, Score, -31.886666666666667, PathLength, 94.0,sMostConnectedFirst,Cost, 149.0513079975555, Score, -99.84333333333333, PathLength, 298.0,
hMaxDistance,Cost, 110.247760896571, Score, 56.49433333333334,sRandomWalk,Cost, 160.2819860101541, Score, -106.53333333333332, PathLength, 318.0,sConstrainedRandomWalk,Cost, 46.99849032769047, Score, -31.75333333333334, PathLength, 94.0,sLowEdgeCost,Cost, 30.965583775649794, Score, -33.15333333333334, PathLength, 98.0,sDepthFirstSearch,Cost, 50.792829915376686, Score, -33.103333333333325, PathLength, 98.0,sDepthFirstSearchLowCost,Cost, 26.660554378702837, Score, -30.92, PathLength, 91.0,sBreadthFirstSearch,Cost, 68.27445784054673, Score, -110.18666666666662, PathLength, 329.0,sBreadthFirstSearchLowCost,Cost, 62.731748455949344, Score, -102.00666666666665, PathLength, 305.0,sBacktrackPath,Cost, 45.668886106997086, Score, -49.07333333333334, PathLength, 146.0,sLeastConnectedFirst,Cost, 45.00137856392095, Score, -30.866666666666664, PathLength, 91.0,sMostConnectedFirst,Cost, 55.09928965497288, Score, -37.346666666666664, PathLength, 111.0,
