[1000, [MinimumConnectivity,1][RandomSet,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 15738.48362001411, Score, 41.0,sDepthFirstSearchLowCost,Cost, 543.6066510911853, Score, -47.66666666666667, PathLength, 142.0,sLeastConnectedFirst,Cost, 520.7240051784603, Score, -34.333333333333336, PathLength, 102.0,
hRandomSet,Cost, 159.57881070690456, Score, 28.166666666666664,sDepthFirstSearchLowCost,Cost, 187.3245163946199, Score, -23.333333333333332, PathLength, 69.0,sLeastConnectedFirst,Cost, 530.5022512288442, Score, -33.0, PathLength, 98.0,
hRandomSet,Cost, 160.58419740030396, Score, 36.333333333333336,sDepthFirstSearchLowCost,Cost, 553.7378281690656, Score, -49.0, PathLength, 146.0,sLeastConnectedFirst,Cost, 370.77727142545706, Score, -23.666666666666668, PathLength, 70.0,
hMinimumConnectivity,Cost, 3138.400697099142, Score, 42.833333333333336,sDepthFirstSearchLowCost,Cost, 575.5350910790545, Score, -55.00000000000001, PathLength, 164.0,sLeastConnectedFirst,Cost, 500.484511339653, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 220.70650712493133, Score, 32.5,sDepthFirstSearchLowCost,Cost, 423.21059832433616, Score, -41.333333333333336, PathLength, 123.0,sLeastConnectedFirst,Cost, 342.3467512977768, Score, -23.666666666666668, PathLength, 70.0,
hMinimumConnectivity,Cost, 13858.53710413861, Score, 28.5,sDepthFirstSearchLowCost,Cost, 410.3394220923864, Score, -39.33333333333333, PathLength, 117.0,sLeastConnectedFirst,Cost, 272.405889802125, Score, -17.666666666666668, PathLength, 52.0,
hMinimumConnectivity,Cost, 9490.314267297186, Score, 51.0,sDepthFirstSearchLowCost,Cost, 665.5493610678917, Score, -64.66666666666666, PathLength, 193.0,sLeastConnectedFirst,Cost, 534.6189873683852, Score, -37.333333333333336, PathLength, 111.0,
hRandomSet,Cost, 216.1367216406742, Score, 31.5,sDepthFirstSearchLowCost,Cost, 279.50913920328753, Score, -29.666666666666668, PathLength, 88.0,sLeastConnectedFirst,Cost, 491.4387656896011, Score, -33.33333333333333, PathLength, 99.0,
hRandomSet,Cost, 177.25748519019257, Score, 26.333333333333332,sDepthFirstSearchLowCost,Cost, 191.58276319964315, Score, -23.666666666666668, PathLength, 70.0,sLeastConnectedFirst,Cost, 416.27078844416127, Score, -28.999999999999996, PathLength, 86.0,
hMinimumConnectivity,Cost, 1494.3172240751223, Score, 45.83333333333333,sDepthFirstSearchLowCost,Cost, 565.3580437077054, Score, -58.333333333333336, PathLength, 174.0,sLeastConnectedFirst,Cost, 496.61778867708495, Score, -33.33333333333333, PathLength, 99.0,
hRandomSet,Cost, 146.77453204870082, Score, 30.0,sDepthFirstSearchLowCost,Cost, 191.94567761264244, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 509.9641407992825, Score, -35.0, PathLength, 104.0,
hMinimumConnectivity,Cost, 14579.02676119074, Score, 42.666666666666664,sDepthFirstSearchLowCost,Cost, 516.2462176880858, Score, -61.33333333333333, PathLength, 183.0,sLeastConnectedFirst,Cost, 324.73671388162995, Score, -24.0, PathLength, 71.0,
hRandomSet,Cost, 131.28935749416507, Score, 31.5,sDepthFirstSearchLowCost,Cost, 273.6973903029345, Score, -27.666666666666668, PathLength, 82.0,sLeastConnectedFirst,Cost, 557.0305842494229, Score, -35.333333333333336, PathLength, 105.0,
hMinimumConnectivity,Cost, 7290.705859120351, Score, 48.0,sDepthFirstSearchLowCost,Cost, 713.7875637725521, Score, -65.66666666666666, PathLength, 196.0,sLeastConnectedFirst,Cost, 490.768961691454, Score, -30.333333333333336, PathLength, 90.0,
hRandomSet,Cost, 98.42669875573931, Score, 33.666666666666664,sDepthFirstSearchLowCost,Cost, 373.8099146452733, Score, -33.666666666666664, PathLength, 100.0,sLeastConnectedFirst,Cost, 559.7813076364487, Score, -33.666666666666664, PathLength, 100.0,
hMinimumConnectivity,Cost, 18876.264919589845, Score, 33.0,sDepthFirstSearchLowCost,Cost, 348.5215145001381, Score, -36.0, PathLength, 107.0,sLeastConnectedFirst,Cost, 480.052981059593, Score, -30.0, PathLength, 89.0,
hMinimumConnectivity,Cost, 13805.806524325964, Score, 47.666666666666664,sDepthFirstSearchLowCost,Cost, 576.8717753687732, Score, -63.33333333333333, PathLength, 189.0,sLeastConnectedFirst,Cost, 460.7423815004792, Score, -32.0, PathLength, 95.0,
