[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1][ConstrainedRandomWalk,1][BreadthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 3217.5236808258505, Score, 111.91666666666667,sDepthFirstSearchLowCost,Cost, 464.58468426044095, Score, -46.0, PathLength, 137.0,sLeastConnectedFirst,Cost, 236.81715880912176, Score, -16.0, PathLength, 47.0,sConstrainedRandomWalk,Cost, 1335.399197712472, Score, -83.0, PathLength, 248.0,sBreadthFirstSearchLowCost,Cost, 2114.8364497334833, Score, -302.6666666666667, PathLength, 907.0,
hRandomSet,Cost, 178.83801666948287, Score, 40.25,sDepthFirstSearchLowCost,Cost, 359.3123725616166, Score, -39.33333333333333, PathLength, 117.0,sLeastConnectedFirst,Cost, 426.6821343439241, Score, -32.33333333333333, PathLength, 96.0,sConstrainedRandomWalk,Cost, 401.0640759978026, Score, -26.0, PathLength, 77.0,sBreadthFirstSearchLowCost,Cost, 677.0958775120552, Score, -63.33333333333333, PathLength, 189.0,
hRandomSet,Cost, 146.74547875525582, Score, 50.833333333333336,sDepthFirstSearchLowCost,Cost, 401.0865162490362, Score, -41.66666666666667, PathLength, 124.0,sLeastConnectedFirst,Cost, 359.9612107517971, Score, -24.333333333333336, PathLength, 72.0,sConstrainedRandomWalk,Cost, 479.50362465708645, Score, -32.33333333333333, PathLength, 96.0,sBreadthFirstSearchLowCost,Cost, 1001.602149161715, Score, -105.0, PathLength, 314.0,
hRandomSet,Cost, 174.67791287103242, Score, 44.666666666666664,sDepthFirstSearchLowCost,Cost, 238.47155706369486, Score, -28.999999999999996, PathLength, 86.0,sLeastConnectedFirst,Cost, 452.2336382217665, Score, -28.666666666666668, PathLength, 85.0,sConstrainedRandomWalk,Cost, 427.91802140023833, Score, -28.666666666666668, PathLength, 85.0,sBreadthFirstSearchLowCost,Cost, 897.5439927800173, Score, -92.33333333333333, PathLength, 276.0,
hMinimumConnectivity,Cost, 19139.9422173497, Score, 75.33333333333333,sDepthFirstSearchLowCost,Cost, 379.27505461323886, Score, -40.666666666666664, PathLength, 121.0,sLeastConnectedFirst,Cost, 469.9736012259581, Score, -32.666666666666664, PathLength, 97.0,sConstrainedRandomWalk,Cost, 1114.3927660212876, Score, -74.33333333333333, PathLength, 222.0,sBreadthFirstSearchLowCost,Cost, 1049.2379741168522, Score, -153.66666666666666, PathLength, 460.0,
hRandomSet,Cost, 77.31338346782155, Score, 44.166666666666664,sDepthFirstSearchLowCost,Cost, 184.4977589356312, Score, -25.333333333333336, PathLength, 75.0,sLeastConnectedFirst,Cost, 431.20602969290906, Score, -30.333333333333336, PathLength, 90.0,sConstrainedRandomWalk,Cost, 421.94165139312884, Score, -29.666666666666668, PathLength, 88.0,sBreadthFirstSearchLowCost,Cost, 720.7798309347355, Score, -91.33333333333333, PathLength, 273.0,
hMinimumConnectivity,Cost, 3411.9059014014656, Score, 87.58333333333334,sDepthFirstSearchLowCost,Cost, 509.13667918594143, Score, -45.0, PathLength, 134.0,sLeastConnectedFirst,Cost, 350.4678345129995, Score, -24.333333333333336, PathLength, 72.0,sConstrainedRandomWalk,Cost, 1199.7030553024617, Score, -78.66666666666666, PathLength, 235.0,sBreadthFirstSearchLowCost,Cost, 1405.5375384298159, Score, -202.33333333333334, PathLength, 606.0,
hMinimumConnectivity,Cost, 13505.600055152101, Score, 83.16666666666667,sDepthFirstSearchLowCost,Cost, 502.2158216952968, Score, -53.333333333333336, PathLength, 159.0,sLeastConnectedFirst,Cost, 370.9797196001537, Score, -26.666666666666668, PathLength, 79.0,sConstrainedRandomWalk,Cost, 632.8489275692809, Score, -42.66666666666667, PathLength, 127.0,sBreadthFirstSearchLowCost,Cost, 1231.3577991311663, Score, -210.0, PathLength, 629.0,
hMinimumConnectivity,Cost, 16085.320199151467, Score, 69.66666666666667,sDepthFirstSearchLowCost,Cost, 639.5642005539298, Score, -59.333333333333336, PathLength, 177.0,sLeastConnectedFirst,Cost, 501.3735496064907, Score, -35.0, PathLength, 104.0,sConstrainedRandomWalk,Cost, 621.0846686200141, Score, -42.0, PathLength, 125.0,sBreadthFirstSearchLowCost,Cost, 1073.8848280295317, Score, -142.33333333333334, PathLength, 426.0,
hRandomSet,Cost, 133.37663219666996, Score, 37.25,sDepthFirstSearchLowCost,Cost, 78.6254345239518, Score, -17.0, PathLength, 50.0,sLeastConnectedFirst,Cost, 340.67130088698383, Score, -24.0, PathLength, 71.0,sConstrainedRandomWalk,Cost, 442.7607905112429, Score, -32.666666666666664, PathLength, 97.0,sBreadthFirstSearchLowCost,Cost, 489.8159757602946, Score, -75.33333333333333, PathLength, 225.0,
hMinimumConnectivity,Cost, 1698.4166647919492, Score, 100.5,sDepthFirstSearchLowCost,Cost, 519.8843579240989, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 341.1118990880199, Score, -23.333333333333332, PathLength, 69.0,sConstrainedRandomWalk,Cost, 1831.9536657878814, Score, -129.0, PathLength, 386.0,sBreadthFirstSearchLowCost,Cost, 1452.7874992902757, Score, -198.0, PathLength, 593.0,
hRandomSet,Cost, 244.12485203512963, Score, 33.0,sDepthFirstSearchLowCost,Cost, 157.90262774046698, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 601.5633423130212, Score, -39.33333333333333, PathLength, 117.0,sConstrainedRandomWalk,Cost, 357.91734420799355, Score, -24.666666666666668, PathLength, 73.0,sBreadthFirstSearchLowCost,Cost, 456.38430551490916, Score, -43.0, PathLength, 128.0,
hRandomSet,Cost, 150.4200901674548, Score, 65.41666666666667,sDepthFirstSearchLowCost,Cost, 310.45404893929464, Score, -36.333333333333336, PathLength, 108.0,sLeastConnectedFirst,Cost, 508.43756233347125, Score, -32.0, PathLength, 95.0,sConstrainedRandomWalk,Cost, 1564.8908974656388, Score, -103.33333333333334, PathLength, 309.0,sBreadthFirstSearchLowCost,Cost, 843.508309675957, Score, -90.0, PathLength, 269.0,
hRandomSet,Cost, 133.03572133813145, Score, 33.083333333333336,sDepthFirstSearchLowCost,Cost, 312.1326431431864, Score, -36.333333333333336, PathLength, 108.0,sLeastConnectedFirst,Cost, 332.79907543730167, Score, -24.333333333333336, PathLength, 72.0,sConstrainedRandomWalk,Cost, 493.5778998907909, Score, -33.666666666666664, PathLength, 100.0,sBreadthFirstSearchLowCost,Cost, 358.50173501694906, Score, -38.0, PathLength, 113.0,
hRandomSet,Cost, 148.83284551465252, Score, 46.91666666666667,sDepthFirstSearchLowCost,Cost, 194.58001164001539, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 560.0764605083361, Score, -35.66666666666667, PathLength, 106.0,sConstrainedRandomWalk,Cost, 622.8797512990533, Score, -41.333333333333336, PathLength, 123.0,sBreadthFirstSearchLowCost,Cost, 790.0264588597544, Score, -85.66666666666667, PathLength, 256.0,
hMinimumConnectivity,Cost, 12334.918256156056, Score, 72.0,sDepthFirstSearchLowCost,Cost, 371.3360683066222, Score, -38.0, PathLength, 113.0,sLeastConnectedFirst,Cost, 441.24662082506916, Score, -29.666666666666668, PathLength, 88.0,sConstrainedRandomWalk,Cost, 1308.8118444647644, Score, -87.0, PathLength, 260.0,sBreadthFirstSearchLowCost,Cost, 1051.6294757315272, Score, -133.33333333333331, PathLength, 399.0,
hRandomSet,Cost, 156.26390662895162, Score, 55.58333333333333,sDepthFirstSearchLowCost,Cost, 278.7416009587098, Score, -31.0, PathLength, 92.0,sLeastConnectedFirst,Cost, 500.1782438488887, Score, -33.33333333333333, PathLength, 99.0,sConstrainedRandomWalk,Cost, 451.9181169457118, Score, -28.999999999999996, PathLength, 86.0,sBreadthFirstSearchLowCost,Cost, 811.4040319238411, Score, -129.0, PathLength, 386.0,
hMinimumConnectivity,Cost, 21513.95396165766, Score, 110.33333333333336,sDepthFirstSearchLowCost,Cost, 474.9462508997884, Score, -46.666666666666664, PathLength, 139.0,sLeastConnectedFirst,Cost, 381.6895151121694, Score, -27.333333333333332, PathLength, 81.0,sConstrainedRandomWalk,Cost, 2147.3262060621823, Score, -143.66666666666669, PathLength, 430.0,sBreadthFirstSearchLowCost,Cost, 1574.5326901855692, Score, -223.66666666666669, PathLength, 670.0,
hRandomSet,Cost, 272.25327385686836, Score, 93.33333333333333,sDepthFirstSearchLowCost,Cost, 480.6725521300751, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 505.56235508300824, Score, -37.0, PathLength, 110.0,sConstrainedRandomWalk,Cost, 1468.6113464965126, Score, -105.0, PathLength, 314.0,sBreadthFirstSearchLowCost,Cost, 1339.938276005947, Score, -182.0, PathLength, 545.0,
hMinimumConnectivity,Cost, 16191.100520623608, Score, 102.99999999999999,sDepthFirstSearchLowCost,Cost, 471.9047522899398, Score, -44.333333333333336, PathLength, 132.0,sLeastConnectedFirst,Cost, 386.93413293729645, Score, -25.333333333333336, PathLength, 75.0,sConstrainedRandomWalk,Cost, 2420.3025762956, Score, -159.66666666666666, PathLength, 478.0,sBreadthFirstSearchLowCost,Cost, 1371.2738150026157, Score, -182.66666666666666, PathLength, 547.0,
hRandomSet,Cost, 128.05956270508514, Score, 55.58333333333333,sDepthFirstSearchLowCost,Cost, 459.79599133119217, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 300.37959262357293, Score, -20.333333333333332, PathLength, 60.0,sConstrainedRandomWalk,Cost, 429.28208841199347, Score, -27.333333333333332, PathLength, 81.0,sBreadthFirstSearchLowCost,Cost, 940.6339476282546, Score, -124.0, PathLength, 371.0,
hMinimumConnectivity,Cost, 8269.346700044473, Score, 104.83333333333334,sDepthFirstSearchLowCost,Cost, 549.5843900915559, Score, -66.0, PathLength, 197.0,sLeastConnectedFirst,Cost, 595.9817346769006, Score, -43.0, PathLength, 128.0,sConstrainedRandomWalk,Cost, 634.0455378629464, Score, -48.333333333333336, PathLength, 144.0,sBreadthFirstSearchLowCost,Cost, 1571.6204565072362, Score, -262.0, PathLength, 785.0,
hMinimumConnectivity,Cost, 24981.03661514467, Score, 74.41666666666667,sDepthFirstSearchLowCost,Cost, 538.5801510154845, Score, -57.99999999999999, PathLength, 173.0,sLeastConnectedFirst,Cost, 315.7926988540986, Score, -23.666666666666668, PathLength, 70.0,sConstrainedRandomWalk,Cost, 767.899875934282, Score, -53.666666666666664, PathLength, 160.0,sBreadthFirstSearchLowCost,Cost, 1104.2307425093302, Score, -162.33333333333334, PathLength, 486.0,
hRandomSet,Cost, 178.48795969324397, Score, 46.583333333333336,sDepthFirstSearchLowCost,Cost, 170.27920753763155, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 455.7645745807382, Score, -34.333333333333336, PathLength, 102.0,sConstrainedRandomWalk,Cost, 364.46371019904234, Score, -24.666666666666668, PathLength, 73.0,sBreadthFirstSearchLowCost,Cost, 675.608073087859, Score, -102.33333333333334, PathLength, 306.0,
hMinimumConnectivity,Cost, 1424.932702132364, Score, 73.08333333333333,sDepthFirstSearchLowCost,Cost, 586.1616241375215, Score, -54.333333333333336, PathLength, 162.0,sLeastConnectedFirst,Cost, 465.4721998750927, Score, -30.666666666666664, PathLength, 91.0,sConstrainedRandomWalk,Cost, 1012.7042475875809, Score, -63.33333333333333, PathLength, 189.0,sBreadthFirstSearchLowCost,Cost, 1286.9163763818235, Score, -144.0, PathLength, 431.0,
hRandomSet,Cost, 186.53237589621287, Score, 38.666666666666664,sDepthFirstSearchLowCost,Cost, 298.11935960229187, Score, -34.0, PathLength, 101.0,sLeastConnectedFirst,Cost, 456.48088117886465, Score, -30.333333333333336, PathLength, 90.0,sConstrainedRandomWalk,Cost, 347.1965272337619, Score, -23.333333333333332, PathLength, 69.0,sBreadthFirstSearchLowCost,Cost, 496.7187149456418, Score, -67.0, PathLength, 200.0,
hRandomSet,Cost, 167.88303719351458, Score, 56.83333333333333,sDepthFirstSearchLowCost,Cost, 194.80168644929154, Score, -27.666666666666668, PathLength, 82.0,sLeastConnectedFirst,Cost, 407.4779138881334, Score, -30.0, PathLength, 89.0,sConstrainedRandomWalk,Cost, 558.6647056814226, Score, -36.666666666666664, PathLength, 109.0,sBreadthFirstSearchLowCost,Cost, 1048.8879417120618, Score, -133.0, PathLength, 398.0,
hRandomSet,Cost, 105.6329556220685, Score, 44.91666666666667,sDepthFirstSearchLowCost,Cost, 284.5344583689556, Score, -30.333333333333336, PathLength, 90.0,sLeastConnectedFirst,Cost, 401.5209112727661, Score, -25.333333333333336, PathLength, 75.0,sConstrainedRandomWalk,Cost, 363.1759987680237, Score, -25.0, PathLength, 74.0,sBreadthFirstSearchLowCost,Cost, 880.7278269322707, Score, -99.0, PathLength, 296.0,
hMinimumConnectivity,Cost, 12682.516237960088, Score, 64.41666666666667,sDepthFirstSearchLowCost,Cost, 291.7392834787904, Score, -31.666666666666664, PathLength, 94.0,sLeastConnectedFirst,Cost, 502.54047862774246, Score, -33.33333333333333, PathLength, 99.0,sConstrainedRandomWalk,Cost, 692.9302139947014, Score, -44.333333333333336, PathLength, 132.0,sBreadthFirstSearchLowCost,Cost, 1119.4635708197252, Score, -148.33333333333334, PathLength, 444.0,
hMinimumConnectivity,Cost, 2638.2714907986874, Score, 67.58333333333333,sDepthFirstSearchLowCost,Cost, 257.5423351152378, Score, -29.333333333333332, PathLength, 87.0,sLeastConnectedFirst,Cost, 376.5655332299044, Score, -26.333333333333332, PathLength, 78.0,sConstrainedRandomWalk,Cost, 730.6395390649826, Score, -46.666666666666664, PathLength, 139.0,sBreadthFirstSearchLowCost,Cost, 1440.1052520443334, Score, -168.0, PathLength, 503.0,
hRandomSet,Cost, 116.76736621770975, Score, 55.583333333333336,sDepthFirstSearchLowCost,Cost, 427.4870901903916, Score, -48.0, PathLength, 143.0,sLeastConnectedFirst,Cost, 390.491958487903, Score, -27.333333333333332, PathLength, 81.0,sConstrainedRandomWalk,Cost, 535.0808019891814, Score, -37.333333333333336, PathLength, 111.0,sBreadthFirstSearchLowCost,Cost, 752.8511719541935, Score, -109.66666666666667, PathLength, 328.0,
hMinimumConnectivity,Cost, 14670.960164890772, Score, 58.916666666666664,sDepthFirstSearchLowCost,Cost, 205.6452202446325, Score, -27.333333333333332, PathLength, 81.0,sLeastConnectedFirst,Cost, 532.3845090463827, Score, -35.0, PathLength, 104.0,sConstrainedRandomWalk,Cost, 875.5668840619852, Score, -58.333333333333336, PathLength, 174.0,sBreadthFirstSearchLowCost,Cost, 1005.6379837360626, Score, -114.99999999999999, PathLength, 344.0,
hRandomSet,Cost, 110.00533866328271, Score, 48.66666666666667,sDepthFirstSearchLowCost,Cost, 334.34933372294535, Score, -38.333333333333336, PathLength, 114.0,sLeastConnectedFirst,Cost, 442.4476205311335, Score, -35.333333333333336, PathLength, 105.0,sConstrainedRandomWalk,Cost, 243.79523451650573, Score, -16.333333333333332, PathLength, 48.0,sBreadthFirstSearchLowCost,Cost, 671.4578022572982, Score, -104.66666666666666, PathLength, 313.0,
hRandomSet,Cost, 59.02701723262543, Score, 34.5,sDepthFirstSearchLowCost,Cost, 218.46588808820547, Score, -30.0, PathLength, 89.0,sLeastConnectedFirst,Cost, 516.937287446453, Score, -36.666666666666664, PathLength, 109.0,sConstrainedRandomWalk,Cost, 166.31929452334884, Score, -13.333333333333334, PathLength, 39.0,sBreadthFirstSearchLowCost,Cost, 382.2329994169268, Score, -57.99999999999999, PathLength, 173.0,
hRandomSet,Cost, 171.36305536178395, Score, 47.0,sDepthFirstSearchLowCost,Cost, 159.8787353350131, Score, -24.0, PathLength, 71.0,sLeastConnectedFirst,Cost, 319.68928312075207, Score, -23.666666666666668, PathLength, 70.0,sConstrainedRandomWalk,Cost, 442.15999989831244, Score, -30.666666666666664, PathLength, 91.0,sBreadthFirstSearchLowCost,Cost, 770.3944952964991, Score, -109.66666666666667, PathLength, 328.0,
hMinimumConnectivity,Cost, 13584.789539767631, Score, 92.66666666666666,sDepthFirstSearchLowCost,Cost, 530.8379543382475, Score, -57.99999999999999, PathLength, 173.0,sLeastConnectedFirst,Cost, 480.5697748311134, Score, -33.0, PathLength, 98.0,sConstrainedRandomWalk,Cost, 748.9112256161626, Score, -47.333333333333336, PathLength, 141.0,sBreadthFirstSearchLowCost,Cost, 1690.4412583886385, Score, -232.33333333333331, PathLength, 696.0,
hRandomSet,Cost, 145.32967245068397, Score, 67.08333333333334,sDepthFirstSearchLowCost,Cost, 235.68137279484992, Score, -30.0, PathLength, 89.0,sLeastConnectedFirst,Cost, 368.009556116643, Score, -24.666666666666668, PathLength, 73.0,sConstrainedRandomWalk,Cost, 1175.102080027959, Score, -81.66666666666667, PathLength, 244.0,sBreadthFirstSearchLowCost,Cost, 853.7680922782406, Score, -132.0, PathLength, 395.0,
hRandomSet,Cost, 273.98308362106786, Score, 57.083333333333336,sDepthFirstSearchLowCost,Cost, 549.0901669247772, Score, -55.333333333333336, PathLength, 165.0,sLeastConnectedFirst,Cost, 209.11267398915953, Score, -13.0, PathLength, 38.0,sConstrainedRandomWalk,Cost, 419.2866096966808, Score, -28.999999999999996, PathLength, 86.0,sBreadthFirstSearchLowCost,Cost, 989.7284840796375, Score, -131.0, PathLength, 392.0,
hMinimumConnectivity,Cost, 11318.195374365509, Score, 56.08333333333333,sDepthFirstSearchLowCost,Cost, 574.1883949351683, Score, -50.0, PathLength, 149.0,sLeastConnectedFirst,Cost, 289.0073324728753, Score, -19.666666666666664, PathLength, 58.0,sConstrainedRandomWalk,Cost, 719.4940310381901, Score, -45.0, PathLength, 134.0,sBreadthFirstSearchLowCost,Cost, 1127.4152082600106, Score, -109.66666666666667, PathLength, 328.0,
hRandomSet,Cost, 204.89524559170007, Score, 40.166666666666664,sDepthFirstSearchLowCost,Cost, 227.21870517248246, Score, -29.333333333333332, PathLength, 87.0,sLeastConnectedFirst,Cost, 442.94287622527145, Score, -30.0, PathLength, 89.0,sConstrainedRandomWalk,Cost, 367.97049688410107, Score, -25.666666666666664, PathLength, 76.0,sBreadthFirstSearchLowCost,Cost, 741.1425884908373, Score, -75.66666666666667, PathLength, 226.0,
