[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.466174634311898, Score, 110.27972027972027,sConstrainedRandomWalk,Cost, 77.16657722797501, Score, -110.27972027972027, PathLength, 156.0,
hRandomDirection,Cost, 2.043636295033541, Score, 97.30069930069926,sConstrainedRandomWalk,Cost, 67.74004417219118, Score, -97.30069930069926, PathLength, 138.0,
hRandomSet,Cost, 7.411892446590204, Score, 144.5174825174825,sConstrainedRandomWalk,Cost, 100.7805327224759, Score, -144.5174825174825, PathLength, 205.0,
hRandomFixedDistance,Cost, 5.183259013497217, Score, 113.11888111888108,sConstrainedRandomWalk,Cost, 79.06318352964337, Score, -113.11888111888108, PathLength, 160.0,
hLowEdgeCostRandomFixedDistance,Cost, 12.25786682104986, Score, 123.57342657342652,sConstrainedRandomWalk,Cost, 85.84137665208279, Score, -123.57342657342652, PathLength, 175.0,
hMinimumConnectivity,Cost, 14.066294451835585, Score, 192.53146853146856,sConstrainedRandomWalk,Cost, 134.94886600351026, Score, -192.53146853146856, PathLength, 274.0,
hMaxDistance,Cost, 51.80076477609847, Score, 156.87412587412587,sConstrainedRandomWalk,Cost, 109.93339762607586, Score, -156.87412587412587, PathLength, 223.0,
hRandom,Cost, 4.561889531799405, Score, 82.96319018404905,sConstrainedRandomWalk,Cost, 68.83240235394453, Score, -82.96319018404905, PathLength, 134.0,
hRandomDirection,Cost, 2.130840935797766, Score, 95.53374233128835,sConstrainedRandomWalk,Cost, 79.13263963990177, Score, -95.53374233128835, PathLength, 154.0,
hRandomSet,Cost, 7.1846191000305035, Score, 125.62576687116571,sConstrainedRandomWalk,Cost, 104.9258192969865, Score, -125.62576687116571, PathLength, 203.0,
hRandomFixedDistance,Cost, 12.235815273159723, Score, 95.14110429447854,sConstrainedRandomWalk,Cost, 79.93209153698203, Score, -95.14110429447854, PathLength, 154.0,
hLowEdgeCostRandomFixedDistance,Cost, 7.074170949115349, Score, 101.84049079754607,sConstrainedRandomWalk,Cost, 84.86825390303324, Score, -101.84049079754607, PathLength, 165.0,
hMinimumConnectivity,Cost, 18.023727122653444, Score, 164.45398773006136,sConstrainedRandomWalk,Cost, 137.26733676127256, Score, -164.45398773006136, PathLength, 267.0,
hMaxDistance,Cost, 219.2501310844959, Score, 94.3680981595092,sConstrainedRandomWalk,Cost, 78.64935313803073, Score, -94.3680981595092, PathLength, 152.0,
hRandom,Cost, 4.448600057455087, Score, 89.74193548387095,sConstrainedRandomWalk,Cost, 65.95729264640556, Score, -89.74193548387095, PathLength, 138.0,
hRandomDirection,Cost, 2.091667716148792, Score, 90.75483870967739,sConstrainedRandomWalk,Cost, 66.83803558179208, Score, -90.75483870967739, PathLength, 139.0,
hRandomSet,Cost, 6.922208439638929, Score, 121.12903225806448,sConstrainedRandomWalk,Cost, 89.54823704974922, Score, -121.12903225806448, PathLength, 186.0,
hRandomFixedDistance,Cost, 2.15578755883668, Score, 94.43225806451613,sConstrainedRandomWalk,Cost, 69.16654417820665, Score, -94.43225806451613, PathLength, 145.0,
hLowEdgeCostRandomFixedDistance,Cost, 5.2431362573535, Score, 101.37419354838714,sConstrainedRandomWalk,Cost, 74.45016395774351, Score, -101.37419354838714, PathLength, 156.0,
hMinimumConnectivity,Cost, 16.948181909697606, Score, 174.36774193548382,sConstrainedRandomWalk,Cost, 128.3496072889432, Score, -174.36774193548382, PathLength, 269.0,
hMaxDistance,Cost, 165.4221407927839, Score, 113.71612903225801,sConstrainedRandomWalk,Cost, 83.69692164030637, Score, -113.71612903225801, PathLength, 175.0,
hRandom,Cost, 5.021142449441409, Score, 127.28057553956836,sConstrainedRandomWalk,Cost, 88.63122706858071, Score, -127.28057553956836, PathLength, 175.0,
hRandomDirection,Cost, 2.2983099615745792, Score, 110.6187050359712,sConstrainedRandomWalk,Cost, 76.86666228987401, Score, -110.6187050359712, PathLength, 152.0,
hRandomSet,Cost, 8.50966139043765, Score, 150.79136690647476,sConstrainedRandomWalk,Cost, 105.78186614466756, Score, -150.79136690647476, PathLength, 208.0,
hRandomFixedDistance,Cost, 10.131513337502438, Score, 118.1726618705036,sConstrainedRandomWalk,Cost, 83.06961769726766, Score, -118.1726618705036, PathLength, 163.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.506513308298909, Score, 116.59712230215833,sConstrainedRandomWalk,Cost, 81.4342722277663, Score, -116.59712230215833, PathLength, 161.0,
hMinimumConnectivity,Cost, 13.805311583024558, Score, 209.20143884892084,sConstrainedRandomWalk,Cost, 146.30956676156353, Score, -209.20143884892084, PathLength, 289.0,
hMaxDistance,Cost, 2.2577308644916934, Score, 109.13669064748207,sConstrainedRandomWalk,Cost, 76.8454483137912, Score, -109.13669064748207, PathLength, 150.0,
hRandom,Cost, 4.225524259610221, Score, 87.6516129032258,sConstrainedRandomWalk,Cost, 62.47774980865431, Score, -87.6516129032258, PathLength, 134.0,
hRandomDirection,Cost, 2.030378368076511, Score, 96.6838709677419,sConstrainedRandomWalk,Cost, 68.41046570735493, Score, -96.6838709677419, PathLength, 148.0,
hRandomSet,Cost, 7.282050550213285, Score, 117.83870967741932,sConstrainedRandomWalk,Cost, 84.63993595340085, Score, -117.83870967741932, PathLength, 181.0,
hRandomFixedDistance,Cost, 15.826078636179512, Score, 96.54838709677422,sConstrainedRandomWalk,Cost, 69.44843439400853, Score, -96.54838709677422, PathLength, 148.0,
hLowEdgeCostRandomFixedDistance,Cost, 9.083706159005331, Score, 114.65806451612903,sConstrainedRandomWalk,Cost, 81.33470916424326, Score, -114.65806451612903, PathLength, 176.0,
hMinimumConnectivity,Cost, 15.476936105352072, Score, 166.92258064516133,sConstrainedRandomWalk,Cost, 118.95492496737519, Score, -166.92258064516133, PathLength, 257.0,
hMaxDistance,Cost, 199.37082371270884, Score, 123.95483870967745,sConstrainedRandomWalk,Cost, 87.89409556316964, Score, -123.95483870967745, PathLength, 191.0,
hRandom,Cost, 4.731741577305084, Score, 123.28676470588238,sConstrainedRandomWalk,Cost, 82.54315379462376, Score, -123.28676470588238, PathLength, 166.0,
hRandomDirection,Cost, 2.3302746013596862, Score, 127.8088235294118,sConstrainedRandomWalk,Cost, 84.71175269818319, Score, -127.8088235294118, PathLength, 172.0,
hRandomSet,Cost, 8.766831582575408, Score, 180.43382352941185,sConstrainedRandomWalk,Cost, 119.22513363573849, Score, -180.43382352941185, PathLength, 244.0,
hRandomFixedDistance,Cost, 12.096793466638244, Score, 138.3455882352941,sConstrainedRandomWalk,Cost, 92.12191649205971, Score, -138.3455882352941, PathLength, 187.0,
hLowEdgeCostRandomFixedDistance,Cost, 5.147976505861961, Score, 152.5514705882353,sConstrainedRandomWalk,Cost, 101.95874335469054, Score, -152.5514705882353, PathLength, 206.0,
hMinimumConnectivity,Cost, 15.043773943647839, Score, 228.48529411764713,sConstrainedRandomWalk,Cost, 153.31858351883156, Score, -228.48529411764713, PathLength, 309.0,
hMaxDistance,Cost, 2.1628094452440116, Score, 110.81617647058827,sConstrainedRandomWalk,Cost, 73.90262886481763, Score, -110.81617647058827, PathLength, 149.0,
hRandom,Cost, 4.361293001684111, Score, 88.2679738562092,sConstrainedRandomWalk,Cost, 66.42772147449993, Score, -88.2679738562092, PathLength, 134.0,
hRandomDirection,Cost, 2.332407666885322, Score, 96.07843137254903,sConstrainedRandomWalk,Cost, 73.22357850960678, Score, -96.07843137254903, PathLength, 146.0,
hRandomSet,Cost, 6.6645155055708365, Score, 135.58823529411765,sConstrainedRandomWalk,Cost, 102.99617979123046, Score, -135.58823529411765, PathLength, 206.0,
hRandomFixedDistance,Cost, 14.48826206767035, Score, 90.67320261437908,sConstrainedRandomWalk,Cost, 68.76575251720266, Score, -90.67320261437908, PathLength, 137.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.699314097251238, Score, 97.46405228758164,sConstrainedRandomWalk,Cost, 73.55265246777083, Score, -97.46405228758164, PathLength, 148.0,
hMinimumConnectivity,Cost, 16.390908125020978, Score, 166.39869281045762,sConstrainedRandomWalk,Cost, 126.03805798916666, Score, -166.39869281045762, PathLength, 253.0,
hMaxDistance,Cost, 209.3201362435593, Score, 107.56209150326804,sConstrainedRandomWalk,Cost, 80.39525213768111, Score, -107.56209150326804, PathLength, 163.0,
hRandom,Cost, 4.86007957400214, Score, 116.00699300699301,sConstrainedRandomWalk,Cost, 85.36077372538098, Score, -116.00699300699301, PathLength, 164.0,
hRandomDirection,Cost, 2.2759162765345646, Score, 116.66433566433565,sConstrainedRandomWalk,Cost, 85.24611097264669, Score, -116.66433566433565, PathLength, 165.0,
hRandomSet,Cost, 9.477050220937732, Score, 163.27272727272728,sConstrainedRandomWalk,Cost, 119.16105498988534, Score, -163.27272727272728, PathLength, 232.0,
hRandomFixedDistance,Cost, 25.55912035022528, Score, 138.00000000000003,sConstrainedRandomWalk,Cost, 100.38559743566302, Score, -138.00000000000003, PathLength, 196.0,
hLowEdgeCostRandomFixedDistance,Cost, 14.425323484216312, Score, 108.86713286713285,sConstrainedRandomWalk,Cost, 79.61940200354877, Score, -108.86713286713285, PathLength, 154.0,
hMinimumConnectivity,Cost, 15.887817230426792, Score, 199.23076923076925,sConstrainedRandomWalk,Cost, 145.28521088554126, Score, -199.23076923076925, PathLength, 283.0,
hMaxDistance,Cost, 186.01714867621052, Score, 134.04895104895112,sConstrainedRandomWalk,Cost, 97.32165012062272, Score, -134.04895104895112, PathLength, 190.0,
hRandom,Cost, 4.525512391279591, Score, 87.25641025641025,sConstrainedRandomWalk,Cost, 66.74388018216185, Score, -87.25641025641025, PathLength, 135.0,
hRandomDirection,Cost, 2.17515496171638, Score, 89.48076923076925,sConstrainedRandomWalk,Cost, 69.43742485823185, Score, -89.48076923076925, PathLength, 138.0,
hRandomSet,Cost, 7.302393257462773, Score, 135.62820512820517,sConstrainedRandomWalk,Cost, 104.1122244340845, Score, -135.62820512820517, PathLength, 210.0,
hRandomFixedDistance,Cost, 2.0713081911040847, Score, 83.76282051282053,sConstrainedRandomWalk,Cost, 64.1591376290077, Score, -83.76282051282053, PathLength, 129.0,
hLowEdgeCostRandomFixedDistance,Cost, 15.429266081538412, Score, 95.00000000000004,sConstrainedRandomWalk,Cost, 73.01268953293035, Score, -95.00000000000004, PathLength, 147.0,
hMinimumConnectivity,Cost, 16.307977584418193, Score, 200.91025641025647,sConstrainedRandomWalk,Cost, 155.98096966508595, Score, -200.91025641025647, PathLength, 312.0,
hMaxDistance,Cost, 2.1554152437189176, Score, 84.58333333333336,sConstrainedRandomWalk,Cost, 64.79260351899539, Score, -84.58333333333336, PathLength, 130.0,
hRandom,Cost, 4.824329503589057, Score, 106.56934306569343,sConstrainedRandomWalk,Cost, 71.50404017163189, Score, -106.56934306569343, PathLength, 145.0,
hRandomDirection,Cost, 2.1846771079550185, Score, 123.89781021897807,sConstrainedRandomWalk,Cost, 83.61867280979537, Score, -123.89781021897807, PathLength, 168.0,
hRandomSet,Cost, 10.457121632242334, Score, 178.08029197080282,sConstrainedRandomWalk,Cost, 121.94485626824591, Score, -178.08029197080282, PathLength, 242.0,
hRandomFixedDistance,Cost, 14.863541183436702, Score, 146.01459854014598,sConstrainedRandomWalk,Cost, 98.20234814087878, Score, -146.01459854014598, PathLength, 199.0,
hLowEdgeCostRandomFixedDistance,Cost, 18.470713566141242, Score, 131.8029197080292,sConstrainedRandomWalk,Cost, 89.4998592085319, Score, -131.8029197080292, PathLength, 179.0,
hMinimumConnectivity,Cost, 14.413275065280393, Score, 234.94160583941596,sConstrainedRandomWalk,Cost, 160.55593339117945, Score, -234.94160583941596, PathLength, 320.0,
hMaxDistance,Cost, 2.326474554595939, Score, 119.35036496350365,sConstrainedRandomWalk,Cost, 80.51070403364251, Score, -119.35036496350365, PathLength, 162.0,
hRandom,Cost, 4.416100789544396, Score, 100.62237762237763,sConstrainedRandomWalk,Cost, 68.85562771031941, Score, -100.62237762237763, PathLength, 142.0,
hRandomDirection,Cost, 2.0193490542675643, Score, 91.9440559440559,sConstrainedRandomWalk,Cost, 62.84632152105047, Score, -91.9440559440559, PathLength, 130.0,
hRandomSet,Cost, 7.702388110991027, Score, 136.53146853146845,sConstrainedRandomWalk,Cost, 92.9169970836293, Score, -136.53146853146845, PathLength, 194.0,
hRandomFixedDistance,Cost, 21.243742753981106, Score, 108.944055944056,sConstrainedRandomWalk,Cost, 73.62441424329839, Score, -108.944055944056, PathLength, 154.0,
hLowEdgeCostRandomFixedDistance,Cost, 16.109375946253074, Score, 123.45454545454544,sConstrainedRandomWalk,Cost, 82.80107950461124, Score, -123.45454545454544, PathLength, 175.0,
hMinimumConnectivity,Cost, 18.89580584472211, Score, 200.923076923077,sConstrainedRandomWalk,Cost, 135.57225445094753, Score, -200.923076923077, PathLength, 286.0,
hMaxDistance,Cost, 215.70117885768693, Score, 125.23776223776227,sConstrainedRandomWalk,Cost, 85.06076388066329, Score, -125.23776223776227, PathLength, 178.0,
hRandom,Cost, 4.931986157067063, Score, 114.79310344827586,sConstrainedRandomWalk,Cost, 83.59718097599867, Score, -114.79310344827586, PathLength, 165.0,
hRandomDirection,Cost, 2.2709283639862234, Score, 103.02758620689656,sConstrainedRandomWalk,Cost, 75.43184896964044, Score, -103.02758620689656, PathLength, 148.0,
