[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 39.56680287256249, Score, 38.36799999999999,sConstrainedRandomWalk,Cost, 465.15978210326097, Score, -33.523333333333326, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 296.23366401273034, Score, -34.74333333333335, PathLength, 103.0,sOptimalBacktrackPath,Cost, 335.991783605023, Score, -35.92, PathLength, 106.0,sBacktrackPath,Cost, 447.56297580031975, Score, -52.13666666666665, PathLength, 155.0,sLowEdgeCost,Cost, 327.04262494850644, Score, -35.51666666666667, PathLength, 105.0,
hRandomSet,Cost, 46.25742509283011, Score, 35.691333333333326,sConstrainedRandomWalk,Cost, 500.91282014150585, Score, -35.153333333333336, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 282.9272158041365, Score, -32.75666666666667, PathLength, 97.0,sOptimalBacktrackPath,Cost, 340.2557887255282, Score, -35.89333333333334, PathLength, 106.0,sBacktrackPath,Cost, 362.6140626375496, Score, -40.07666666666666, PathLength, 119.0,sLowEdgeCost,Cost, 320.9912808733536, Score, -34.576666666666675, PathLength, 102.0,
hRandomSet,Cost, 43.577225939317195, Score, 38.83066666666667,sConstrainedRandomWalk,Cost, 524.1676991164295, Score, -36.42, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 265.3377043073074, Score, -33.07666666666668, PathLength, 98.0,sOptimalBacktrackPath,Cost, 338.1354623321763, Score, -36.73, PathLength, 109.0,sBacktrackPath,Cost, 446.2018612864878, Score, -51.26333333333332, PathLength, 152.0,sLowEdgeCost,Cost, 338.1162910824839, Score, -36.66333333333332, PathLength, 108.0,
hRandomSet,Cost, 43.49216358534111, Score, 39.43066666666666,sConstrainedRandomWalk,Cost, 519.8777603135421, Score, -34.853333333333325, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 291.76754791438117, Score, -35.62333333333333, PathLength, 105.0,sOptimalBacktrackPath,Cost, 364.79930160662224, Score, -38.07, PathLength, 113.0,sBacktrackPath,Cost, 460.33463380102637, Score, -50.71999999999999, PathLength, 151.0,sLowEdgeCost,Cost, 368.70000292587423, Score, -37.88666666666667, PathLength, 112.0,
hRandomSet,Cost, 44.6254080706819, Score, 40.46333333333334,sConstrainedRandomWalk,Cost, 573.2949429353005, Score, -38.463333333333345, PathLength, 114.0,sDepthFirstSearchLowCost,Cost, 316.34760325777046, Score, -35.166666666666664, PathLength, 104.0,sOptimalBacktrackPath,Cost, 371.74762422651133, Score, -37.62666666666665, PathLength, 111.0,sBacktrackPath,Cost, 523.8783899869646, Score, -53.17666666666666, PathLength, 158.0,sLowEdgeCost,Cost, 374.9806649604949, Score, -37.88333333333333, PathLength, 112.0,
hRandomSet,Cost, 50.06243647651387, Score, 39.053999999999995,sConstrainedRandomWalk,Cost, 570.7226405387437, Score, -35.91666666666667, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 337.7943578207903, Score, -33.083333333333336, PathLength, 98.0,sOptimalBacktrackPath,Cost, 401.68149905542435, Score, -37.036666666666676, PathLength, 110.0,sBacktrackPath,Cost, 585.8494346169355, Score, -54.44000000000001, PathLength, 162.0,sLowEdgeCost,Cost, 372.5054720366524, Score, -34.79333333333332, PathLength, 103.0,
hRandomSet,Cost, 45.01481730933103, Score, 41.339333333333315,sConstrainedRandomWalk,Cost, 524.6352262938246, Score, -35.83, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 319.8009081055236, Score, -36.04333333333332, PathLength, 107.0,sOptimalBacktrackPath,Cost, 368.5301117724091, Score, -37.68333333333332, PathLength, 112.0,sBacktrackPath,Cost, 557.2296019222553, Score, -59.800000000000026, PathLength, 178.0,sLowEdgeCost,Cost, 369.3373539495671, Score, -37.33999999999999, PathLength, 111.0,
hRandomSet,Cost, 41.46123146793174, Score, 39.41333333333332,sConstrainedRandomWalk,Cost, 509.94594111972845, Score, -35.21, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 326.26193423538393, Score, -34.10000000000001, PathLength, 101.0,sOptimalBacktrackPath,Cost, 344.6771222550093, Score, -35.47666666666666, PathLength, 105.0,sBacktrackPath,Cost, 518.0742932916895, Score, -57.71333333333334, PathLength, 172.0,sLowEdgeCost,Cost, 332.57974736088084, Score, -34.56666666666668, PathLength, 102.0,
hRandomSet,Cost, 43.57922872645314, Score, 39.73400000000001,sConstrainedRandomWalk,Cost, 562.3187249450596, Score, -40.20333333333332, PathLength, 119.0,sDepthFirstSearchLowCost,Cost, 328.3468728526602, Score, -35.470000000000006, PathLength, 105.0,sOptimalBacktrackPath,Cost, 330.17053549027514, Score, -35.30666666666668, PathLength, 104.0,sBacktrackPath,Cost, 433.9271689833756, Score, -50.87000000000001, PathLength, 151.0,sLowEdgeCost,Cost, 354.92154510236537, Score, -36.82000000000001, PathLength, 109.0,
hRandomSet,Cost, 42.1889480166769, Score, 39.98533333333332,sConstrainedRandomWalk,Cost, 536.7565206842936, Score, -35.57666666666667, PathLength, 105.0,sDepthFirstSearchLowCost,Cost, 308.5107436083756, Score, -34.40333333333333, PathLength, 102.0,sOptimalBacktrackPath,Cost, 373.33930020235783, Score, -37.18, PathLength, 110.0,sBacktrackPath,Cost, 536.2841325597659, Score, -58.136666666666684, PathLength, 173.0,sLowEdgeCost,Cost, 335.745922399934, Score, -34.62999999999999, PathLength, 102.0,
