[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 6.944957982570241, Score, 48.44185185185188,sConstrainedRandomWalk,Cost, 48.68497737166096, Score, -32.31, PathLength, 95.0,sLowEdgeCost,Cost, 15.776087394904524, Score, -19.233333333333334, PathLength, 56.0,sDepthFirstSearch,Cost, 51.6832640015211, Score, -34.52666666666665, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 15.464296294356458, Score, -19.40666666666666, PathLength, 57.0,sBreadthFirstSearch,Cost, 66.33427404978515, Score, -109.67000000000002, PathLength, 328.0,sBreadthFirstSearchLowCost,Cost, 61.527353593932816, Score, -100.89000000000004, PathLength, 301.0,sBacktrackPath,Cost, 46.88376352980854, Score, -52.43999999999999, PathLength, 156.0,sLeastConnectedFirst,Cost, 46.10796761990479, Score, -29.726666666666656, PathLength, 88.0,sMostConnectedFirst,Cost, 58.72481395731769, Score, -37.773333333333355, PathLength, 112.0,
hMinimumConnectivity,Cost, 86.3242877498251, Score, 103.08814814814808,sConstrainedRandomWalk,Cost, 95.12146304508866, Score, -62.36999999999999, PathLength, 186.0,sLowEdgeCost,Cost, 81.60885529278508, Score, -64.64333333333333, PathLength, 192.0,sDepthFirstSearch,Cost, 76.57348003217857, Score, -49.24, PathLength, 146.0,sDepthFirstSearchLowCost,Cost, 45.55904696050263, Score, -44.34333333333334, PathLength, 132.0,sBreadthFirstSearch,Cost, 128.78660180639136, Score, -210.99000000000004, PathLength, 631.0,sBreadthFirstSearchLowCost,Cost, 124.49791027893058, Score, -201.96666666666667, PathLength, 604.0,sBacktrackPath,Cost, 233.93465868829244, Score, -192.19666666666672, PathLength, 575.0,sLeastConnectedFirst,Cost, 36.68335223739758, Score, -23.800000000000008, PathLength, 70.0,sMostConnectedFirst,Cost, 120.90666413733679, Score, -78.24333333333335, PathLength, 233.0,
hMaxDistance,Cost, 5.857277265621147, Score, 53.52555555555554,sConstrainedRandomWalk,Cost, 48.59749870714956, Score, -32.06333333333332, PathLength, 95.0,sLowEdgeCost,Cost, 34.17891211199576, Score, -33.94333333333334, PathLength, 100.0,sDepthFirstSearch,Cost, 49.509278104682544, Score, -32.73000000000001, PathLength, 97.0,sDepthFirstSearchLowCost,Cost, 32.32314128123488, Score, -34.09666666666666, PathLength, 101.0,sBreadthFirstSearch,Cost, 67.06305142691467, Score, -110.79666666666668, PathLength, 331.0,sBreadthFirstSearchLowCost,Cost, 64.43202562353237, Score, -106.29333333333328, PathLength, 317.0,sBacktrackPath,Cost, 64.30548701339222, Score, -66.75333333333333, PathLength, 199.0,sLeastConnectedFirst,Cost, 47.11432275256535, Score, -30.14333333333332, PathLength, 89.0,sMostConnectedFirst,Cost, 53.934802021872855, Score, -34.910000000000004, PathLength, 103.0,
hRandom,Cost, 4.606741272086215, Score, 45.635555555555555,sConstrainedRandomWalk,Cost, 42.94195349965887, Score, -29.619999999999994, PathLength, 87.0,sLowEdgeCost,Cost, 25.845930072118023, Score, -30.720000000000006, PathLength, 91.0,sDepthFirstSearch,Cost, 42.397580949921824, Score, -31.186666666666664, PathLength, 92.0,sDepthFirstSearchLowCost,Cost, 22.520162758378614, Score, -29.733333333333338, PathLength, 88.0,sBreadthFirstSearch,Cost, 62.91722739699254, Score, -94.79666666666668, PathLength, 283.0,sBreadthFirstSearchLowCost,Cost, 58.505980109108684, Score, -89.8766666666667, PathLength, 268.0,sBacktrackPath,Cost, 36.38319031132933, Score, -44.16666666666667, PathLength, 131.0,sLeastConnectedFirst,Cost, 42.19255519568456, Score, -29.583333333333325, PathLength, 87.0,sMostConnectedFirst,Cost, 47.378428619251025, Score, -31.036666666666655, PathLength, 92.0,
hRandomDirection,Cost, 1.9478203255276785, Score, 43.849629629629625,sConstrainedRandomWalk,Cost, 44.62350726056006, Score, -30.70333333333333, PathLength, 91.0,sLowEdgeCost,Cost, 26.59169744825147, Score, -30.986666666666675, PathLength, 91.0,sDepthFirstSearch,Cost, 40.79660538767563, Score, -30.230000000000008, PathLength, 89.0,sDepthFirstSearchLowCost,Cost, 20.938882865936677, Score, -27.993333333333325, PathLength, 82.0,sBreadthFirstSearch,Cost, 55.830987388101676, Score, -84.18000000000002, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 55.39328258859567, Score, -84.38000000000004, PathLength, 252.0,sBacktrackPath,Cost, 32.86525056999004, Score, -41.00333333333333, PathLength, 122.0,sLeastConnectedFirst,Cost, 44.487379228257886, Score, -30.96333333333333, PathLength, 91.0,sMostConnectedFirst,Cost, 51.468771964605224, Score, -34.20666666666668, PathLength, 101.0,
hRandomSet,Cost, 4.919096736418408, Score, 56.79037037037037,sConstrainedRandomWalk,Cost, 58.46718902744053, Score, -40.52333333333333, PathLength, 120.0,sLowEdgeCost,Cost, 33.325586356047545, Score, -36.11666666666667, PathLength, 107.0,sDepthFirstSearch,Cost, 48.300574292847166, Score, -35.7, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 28.831479235541547, Score, -35.39333333333334, PathLength, 105.0,sBreadthFirstSearch,Cost, 78.30231561753303, Score, -118.38, PathLength, 354.0,sBreadthFirstSearchLowCost,Cost, 75.92436630198355, Score, -117.47, PathLength, 351.0,sBacktrackPath,Cost, 50.07310721466317, Score, -54.74, PathLength, 163.0,sLeastConnectedFirst,Cost, 41.2887390379374, Score, -29.18666666666667, PathLength, 86.0,sMostConnectedFirst,Cost, 65.26825355977579, Score, -43.603333333333346, PathLength, 129.0,
hRandomFixedDistance,Cost, 16.87262808880737, Score, 48.529629629629646,sConstrainedRandomWalk,Cost, 51.4141168890335, Score, -35.62, PathLength, 105.0,sLowEdgeCost,Cost, 32.11986386571349, Score, -35.16000000000001, PathLength, 104.0,sDepthFirstSearch,Cost, 46.61735090333768, Score, -34.38333333333333, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 24.25479930579287, Score, -31.270000000000003, PathLength, 92.0,sBreadthFirstSearch,Cost, 65.91122563753135, Score, -98.5533333333333, PathLength, 294.0,sBreadthFirstSearchLowCost,Cost, 56.927295197081556, Score, -87.69333333333334, PathLength, 262.0,sBacktrackPath,Cost, 40.58747489799997, Score, -47.74666666666667, PathLength, 142.0,sLeastConnectedFirst,Cost, 42.91244176708737, Score, -30.29, PathLength, 89.0,sMostConnectedFirst,Cost, 54.628370008387954, Score, -36.05000000000001, PathLength, 107.0,
hLowEdgeCostRandomFixedDistance,Cost, 5.571956251698874, Score, 43.35925925925928,sConstrainedRandomWalk,Cost, 51.177852511634555, Score, -35.236666666666665, PathLength, 104.0,sLowEdgeCost,Cost, 18.648413375722612, Score, -24.743333333333336, PathLength, 73.0,sDepthFirstSearch,Cost, 40.11194066399723, Score, -29.87, PathLength, 88.0,sDepthFirstSearchLowCost,Cost, 15.894168216891755, Score, -23.756666666666657, PathLength, 70.0,sBreadthFirstSearch,Cost, 59.31609028739867, Score, -89.88, PathLength, 268.0,sBreadthFirstSearchLowCost,Cost, 58.69743307513725, Score, -90.27, PathLength, 269.0,sBacktrackPath,Cost, 21.993060232923884, Score, -31.336666666666655, PathLength, 93.0,sLeastConnectedFirst,Cost, 41.86483910036474, Score, -29.77666666666666, PathLength, 88.0,sMostConnectedFirst,Cost, 53.74744020290726, Score, -35.36333333333335, PathLength, 105.0,
hMinimumConnectivity,Cost, 41.515188607316134, Score, 87.77222222222221,sConstrainedRandomWalk,Cost, 88.69985974820528, Score, -61.600000000000016, PathLength, 183.0,sLowEdgeCost,Cost, 70.34993570715463, Score, -60.70999999999997, PathLength, 181.0,sDepthFirstSearch,Cost, 67.94678904806936, Score, -49.26333333333332, PathLength, 146.0,sDepthFirstSearchLowCost,Cost, 46.939855609355256, Score, -50.79999999999999, PathLength, 151.0,sBreadthFirstSearch,Cost, 122.07057990053362, Score, -187.54666666666668, PathLength, 561.0,sBreadthFirstSearchLowCost,Cost, 116.29751198416177, Score, -180.32666666666665, PathLength, 539.0,sBacktrackPath,Cost, 112.9440219508912, Score, -102.60666666666665, PathLength, 306.0,sLeastConnectedFirst,Cost, 36.1435461116948, Score, -26.083333333333325, PathLength, 77.0,sMostConnectedFirst,Cost, 105.05365730030789, Score, -71.01333333333334, PathLength, 212.0,
hMaxDistance,Cost, 194.20665470746601, Score, 50.23666666666668,sConstrainedRandomWalk,Cost, 50.20711331570452, Score, -34.82333333333332, PathLength, 103.0,sLowEdgeCost,Cost, 30.966997280256734, Score, -34.58, PathLength, 102.0,sDepthFirstSearch,Cost, 45.17004774050673, Score, -33.47666666666667, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 25.496398850392215, Score, -32.45, PathLength, 96.0,sBreadthFirstSearch,Cost, 68.89227145433426, Score, -105.34666666666666, PathLength, 315.0,sBreadthFirstSearchLowCost,Cost, 65.96011686657963, Score, -101.28333333333336, PathLength, 302.0,sBacktrackPath,Cost, 35.02831372887685, Score, -42.74, PathLength, 127.0,sLeastConnectedFirst,Cost, 42.576584977643826, Score, -30.22000000000001, PathLength, 89.0,sMostConnectedFirst,Cost, 55.83279569373968, Score, -37.21000000000001, PathLength, 110.0,
