[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][VariableBacktrackPath,1][BacktrackPath,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 43.73025246391225, Score, 51.709166666666654,sConstrainedRandomWalk,Cost, 572.9921942616221, Score, -38.22, PathLength, 113.0,sDepthFirstSearchLowCost,Cost, 351.49235848960626, Score, -33.99666666666668, PathLength, 100.0,sVariableBacktrackPath,Cost, 724.3320238886377, Score, -71.69666666666666, PathLength, 214.0,sBacktrackPath,Cost, 618.260438818821, Score, -62.92333333333334, PathLength, 187.0,
hRandomSet,Cost, 44.23613626881605, Score, 44.45499999999999,sConstrainedRandomWalk,Cost, 530.5511091352519, Score, -37.24999999999999, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 320.4185442117795, Score, -35.41666666666666, PathLength, 105.0,sVariableBacktrackPath,Cost, 470.2811058169708, Score, -51.46333333333334, PathLength, 153.0,sBacktrackPath,Cost, 496.3134640153654, Score, -53.68999999999999, PathLength, 160.0,
hRandomSet,Cost, 48.0818716152613, Score, 41.37250000000001,sConstrainedRandomWalk,Cost, 547.8833918249234, Score, -36.63333333333333, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 304.526083317295, Score, -33.22999999999999, PathLength, 98.0,sVariableBacktrackPath,Cost, 420.07081870576206, Score, -45.19666666666666, PathLength, 134.0,sBacktrackPath,Cost, 490.7358573631391, Score, -50.43000000000001, PathLength, 150.0,
hRandomSet,Cost, 35.96563362005813, Score, 50.19,sConstrainedRandomWalk,Cost, 580.976863488371, Score, -42.35333333333333, PathLength, 126.0,sDepthFirstSearchLowCost,Cost, 296.1343757189326, Score, -34.916666666666686, PathLength, 103.0,sVariableBacktrackPath,Cost, 575.8572266702262, Score, -65.95333333333333, PathLength, 196.0,sBacktrackPath,Cost, 464.0780442383306, Score, -57.53666666666669, PathLength, 171.0,
hRandomSet,Cost, 42.764189162401614, Score, 48.06416666666665,sConstrainedRandomWalk,Cost, 515.7075839337622, Score, -35.103333333333325, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 320.64646074457335, Score, -35.893333333333345, PathLength, 106.0,sVariableBacktrackPath,Cost, 572.2858542889455, Score, -61.16999999999998, PathLength, 182.0,sBacktrackPath,Cost, 555.1694799980694, Score, -60.09000000000001, PathLength, 179.0,
hRandomSet,Cost, 42.341318551450385, Score, 50.12000000000001,sConstrainedRandomWalk,Cost, 615.8504170425982, Score, -42.18000000000001, PathLength, 125.0,sDepthFirstSearchLowCost,Cost, 351.1291001039006, Score, -35.48666666666668, PathLength, 105.0,sVariableBacktrackPath,Cost, 638.3534921229333, Score, -66.63666666666663, PathLength, 198.0,sBacktrackPath,Cost, 503.398107164557, Score, -56.17666666666665, PathLength, 167.0,
hRandomSet,Cost, 48.63489768391995, Score, 49.86416666666665,sConstrainedRandomWalk,Cost, 571.8846306126579, Score, -37.35666666666667, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 372.0426461238793, Score, -37.82333333333332, PathLength, 112.0,sVariableBacktrackPath,Cost, 608.9932794872271, Score, -60.24000000000001, PathLength, 179.0,sBacktrackPath,Cost, 650.7784231716175, Score, -64.03666666666663, PathLength, 191.0,
hRandomSet,Cost, 44.36311345594729, Score, 44.30416666666666,sConstrainedRandomWalk,Cost, 506.2676570953121, Score, -32.69333333333334, PathLength, 97.0,sDepthFirstSearchLowCost,Cost, 297.60415902157615, Score, -33.826666666666675, PathLength, 100.0,sVariableBacktrackPath,Cost, 473.1287595411933, Score, -50.92333333333332, PathLength, 151.0,sBacktrackPath,Cost, 603.9670412317229, Score, -59.77333333333333, PathLength, 178.0,
hRandomSet,Cost, 42.050797569726626, Score, 58.60083333333333,sConstrainedRandomWalk,Cost, 616.4606132614614, Score, -40.96666666666667, PathLength, 121.0,sDepthFirstSearchLowCost,Cost, 367.37466757410687, Score, -37.19000000000001, PathLength, 110.0,sVariableBacktrackPath,Cost, 709.2527517394707, Score, -74.30999999999996, PathLength, 221.0,sBacktrackPath,Cost, 822.5242865330083, Score, -81.93666666666664, PathLength, 244.0,
hRandomSet,Cost, 38.679299723637904, Score, 50.212500000000006,sConstrainedRandomWalk,Cost, 547.2361335964375, Score, -37.839999999999996, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 304.944781889987, Score, -35.75333333333334, PathLength, 106.0,sVariableBacktrackPath,Cost, 606.2354753577572, Score, -66.04333333333334, PathLength, 197.0,sBacktrackPath,Cost, 550.8896880417153, Score, -61.21333333333336, PathLength, 182.0,
hRandomSet,Cost, 44.64057062540159, Score, 43.39583333333333,sConstrainedRandomWalk,Cost, 513.8481850930417, Score, -33.980000000000004, PathLength, 100.0,sDepthFirstSearchLowCost,Cost, 347.00397425212395, Score, -35.16333333333334, PathLength, 104.0,sVariableBacktrackPath,Cost, 504.49000292125424, Score, -53.06333333333333, PathLength, 158.0,sBacktrackPath,Cost, 486.2294840300043, Score, -51.37666666666666, PathLength, 153.0,
hRandomSet,Cost, 45.21999483574564, Score, 42.29500000000001,sConstrainedRandomWalk,Cost, 519.651322001963, Score, -36.24666666666666, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 329.032030021449, Score, -35.52666666666667, PathLength, 105.0,sVariableBacktrackPath,Cost, 498.046610579312, Score, -50.74666666666665, PathLength, 151.0,sBacktrackPath,Cost, 444.54169922318425, Score, -46.66000000000001, PathLength, 138.0,
hRandomSet,Cost, 40.61952736386952, Score, 48.29916666666665,sConstrainedRandomWalk,Cost, 501.21643986975556, Score, -34.70666666666668, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 300.6931860245932, Score, -34.656666666666666, PathLength, 102.0,sVariableBacktrackPath,Cost, 528.040857145513, Score, -59.98333333333333, PathLength, 178.0,sBacktrackPath,Cost, 582.8083103506718, Score, -63.849999999999994, PathLength, 190.0,
hRandomSet,Cost, 52.963006331376036, Score, 49.018333333333345,sConstrainedRandomWalk,Cost, 576.6870964690778, Score, -37.17999999999999, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 350.99177889293713, Score, -35.360000000000014, PathLength, 105.0,sVariableBacktrackPath,Cost, 608.1637398645739, Score, -60.45666666666668, PathLength, 180.0,sBacktrackPath,Cost, 647.6421463652885, Score, -63.07666666666668, PathLength, 188.0,
hRandomSet,Cost, 40.76877544310777, Score, 44.84083333333335,sConstrainedRandomWalk,Cost, 460.98469881537477, Score, -32.97666666666667, PathLength, 97.0,sDepthFirstSearchLowCost,Cost, 286.2449118873206, Score, -32.74333333333335, PathLength, 97.0,sVariableBacktrackPath,Cost, 534.4843371945635, Score, -60.33666666666669, PathLength, 180.0,sBacktrackPath,Cost, 447.39540647703194, Score, -53.3066666666667, PathLength, 158.0,
hRandomSet,Cost, 51.71574044386189, Score, 48.66000000000001,sConstrainedRandomWalk,Cost, 603.5186731736486, Score, -39.486666666666665, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 343.3878530334345, Score, -34.980000000000004, PathLength, 103.0,sVariableBacktrackPath,Cost, 599.224431472225, Score, -57.54333333333332, PathLength, 171.0,sBacktrackPath,Cost, 674.8920992839895, Score, -62.630000000000024, PathLength, 186.0,
hRandomSet,Cost, 45.83478087407586, Score, 41.87916666666666,sConstrainedRandomWalk,Cost, 502.8602135841107, Score, -34.69999999999999, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 257.79610722799663, Score, -31.24333333333332, PathLength, 92.0,sVariableBacktrackPath,Cost, 444.8645549043231, Score, -48.69, PathLength, 145.0,sBacktrackPath,Cost, 501.12456725778196, Score, -52.88333333333335, PathLength, 157.0,
hRandomSet,Cost, 45.97304784721639, Score, 41.029166666666676,sConstrainedRandomWalk,Cost, 526.5157470905514, Score, -34.37333333333334, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 319.22545279734504, Score, -33.44000000000001, PathLength, 99.0,sVariableBacktrackPath,Cost, 463.6352676482114, Score, -48.14, PathLength, 143.0,sBacktrackPath,Cost, 467.9374981019904, Score, -48.16333333333334, PathLength, 143.0,
hRandomSet,Cost, 43.78068286960035, Score, 47.779999999999966,sConstrainedRandomWalk,Cost, 523.0116975859893, Score, -34.01, PathLength, 101.0,sDepthFirstSearchLowCost,Cost, 338.5074563373167, Score, -33.08333333333332, PathLength, 98.0,sVariableBacktrackPath,Cost, 599.2651127504764, Score, -61.076666666666654, PathLength, 182.0,sBacktrackPath,Cost, 643.3659291320785, Score, -62.95, PathLength, 187.0,
hRandomSet,Cost, 45.5681037750039, Score, 45.61416666666667,sConstrainedRandomWalk,Cost, 543.1502375975988, Score, -35.23333333333334, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 311.12697819328275, Score, -34.95333333333333, PathLength, 103.0,sVariableBacktrackPath,Cost, 499.6104878084225, Score, -53.05666666666667, PathLength, 158.0,sBacktrackPath,Cost, 579.5470975595936, Score, -59.21333333333331, PathLength, 176.0,
hRandomSet,Cost, 43.287001523254624, Score, 43.22,sConstrainedRandomWalk,Cost, 509.11843987193316, Score, -34.766666666666644, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 265.59425957689615, Score, -32.62999999999998, PathLength, 96.0,sVariableBacktrackPath,Cost, 473.1955135096362, Score, -53.07666666666668, PathLength, 158.0,sBacktrackPath,Cost, 461.5859294415426, Score, -52.40666666666666, PathLength, 156.0,
hRandomSet,Cost, 43.61620131010835, Score, 41.46833333333331,sConstrainedRandomWalk,Cost, 503.71050000556255, Score, -33.47333333333333, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 293.5855643890925, Score, -32.739999999999995, PathLength, 97.0,sVariableBacktrackPath,Cost, 505.3248331320053, Score, -53.27333333333334, PathLength, 158.0,sBacktrackPath,Cost, 416.20351899113376, Score, -46.38666666666667, PathLength, 138.0,
hRandomSet,Cost, 45.01392590798016, Score, 47.99166666666668,sConstrainedRandomWalk,Cost, 509.73390803033107, Score, -34.26, PathLength, 101.0,sDepthFirstSearchLowCost,Cost, 293.32583314718624, Score, -32.71, PathLength, 97.0,sVariableBacktrackPath,Cost, 529.7903267420878, Score, -57.02, PathLength, 170.0,sBacktrackPath,Cost, 679.8069081064095, Score, -67.97666666666666, PathLength, 202.0,
hRandomSet,Cost, 43.952155760214026, Score, 49.92916666666665,sConstrainedRandomWalk,Cost, 599.9686491704907, Score, -39.449999999999996, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 307.3448183954456, Score, -33.67666666666666, PathLength, 100.0,sVariableBacktrackPath,Cost, 597.5351741358071, Score, -63.533333333333346, PathLength, 189.0,sBacktrackPath,Cost, 602.0702972793592, Score, -63.05666666666668, PathLength, 188.0,
hRandomSet,Cost, 39.746082902487046, Score, 43.10500000000001,sConstrainedRandomWalk,Cost, 517.1824851438813, Score, -34.94333333333333, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 302.5866661559779, Score, -34.92999999999999, PathLength, 103.0,sVariableBacktrackPath,Cost, 484.54047432049794, Score, -55.13333333333333, PathLength, 164.0,sBacktrackPath,Cost, 388.94760621925343, Score, -47.41333333333333, PathLength, 141.0,
