[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,ring}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 4.231461197508114, Score, 821.2320000000004,sRandomWalk,Cost, 911.9148180413066, Score, -1837.17, PathLength, 1836.0,sConstrainedRandomWalk,Cost, 28.267966451157086, Score, -57.76, PathLength, 56.0,sLowEdgeCost,Cost, 27.93775992316212, Score, -57.73, PathLength, 56.0,sDepthFirstSearch,Cost, 31.231771240350533, Score, -64.31, PathLength, 63.0,sDepthFirstSearchLowCost,Cost, 26.795369137835902, Score, -55.7, PathLength, 54.0,sBreadthFirstSearch,Cost, 789.5583500224575, Score, -1539.56, PathLength, 1538.0,sBreadthFirstSearchLowCost,Cost, 2161.8229149126882, Score, -4419.01, PathLength, 4418.0,sBacktrackPath,Cost, 32.0384834089437, Score, -67.76, PathLength, 66.0,sLeastConnectedFirst,Cost, 27.766039767045346, Score, -57.4, PathLength, 56.0,sMostConnectedFirst,Cost, 27.34177055168392, Score, -55.92, PathLength, 54.0,
hMinimumConnectivity,Cost, 2.4905256839888392, Score, 803.1399999999999,sRandomWalk,Cost, 1099.7396592897667, Score, -2221.2, PathLength, 2220.0,sConstrainedRandomWalk,Cost, 26.41378037874662, Score, -54.39, PathLength, 53.0,sLowEdgeCost,Cost, 25.75266621163142, Score, -53.42, PathLength, 52.0,sDepthFirstSearch,Cost, 27.45718964069592, Score, -56.43, PathLength, 55.0,sDepthFirstSearchLowCost,Cost, 26.772581278434288, Score, -55.45, PathLength, 54.0,sBreadthFirstSearch,Cost, 641.9461786407702, Score, -1251.7, PathLength, 1250.0,sBreadthFirstSearchLowCost,Cost, 2066.8821132003827, Score, -4171.23, PathLength, 4170.0,sBacktrackPath,Cost, 30.172857026073157, Score, -63.82, PathLength, 62.0,sLeastConnectedFirst,Cost, 23.797400497852717, Score, -49.0, PathLength, 48.0,sMostConnectedFirst,Cost, 26.625097925321224, Score, -54.76, PathLength, 53.0,
hMaxDistance,Cost, 193.62763196195112, Score, 1134.2959999999998,sRandomWalk,Cost, 1537.8004483724756, Score, -3122.76, PathLength, 3121.0,sConstrainedRandomWalk,Cost, 36.313775235607224, Score, -74.01, PathLength, 73.0,sLowEdgeCost,Cost, 35.0980370671099, Score, -72.32, PathLength, 71.0,sDepthFirstSearch,Cost, 34.9529351080693, Score, -71.56, PathLength, 70.0,sDepthFirstSearchLowCost,Cost, 36.54692089538013, Score, -75.06, PathLength, 74.0,sBreadthFirstSearch,Cost, 903.6024225521846, Score, -1775.81, PathLength, 1774.0,sBreadthFirstSearchLowCost,Cost, 2897.822579926832, Score, -5922.58, PathLength, 5921.0,sBacktrackPath,Cost, 38.534575980209326, Score, -80.06, PathLength, 79.0,sLeastConnectedFirst,Cost, 36.028139412352346, Score, -73.82, PathLength, 72.0,sMostConnectedFirst,Cost, 36.69997986373794, Score, -74.98, PathLength, 73.0,
hRandom,Cost, 4.180814007515369, Score, 832.3619999999999,sRandomWalk,Cost, 949.7131435248457, Score, -1963.28, PathLength, 1962.0,sConstrainedRandomWalk,Cost, 28.897641759022914, Score, -60.44, PathLength, 59.0,sLowEdgeCost,Cost, 28.192350638121535, Score, -59.42, PathLength, 58.0,sDepthFirstSearch,Cost, 26.726000114297324, Score, -55.68, PathLength, 54.0,sDepthFirstSearchLowCost,Cost, 25.86866318487886, Score, -54.56, PathLength, 53.0,sBreadthFirstSearch,Cost, 693.8408627643615, Score, -1403.01, PathLength, 1402.0,sBreadthFirstSearchLowCost,Cost, 2225.428686774265, Score, -4550.7, PathLength, 4549.0,sBacktrackPath,Cost, 29.192707539225243, Score, -62.96, PathLength, 61.0,sLeastConnectedFirst,Cost, 26.29716375995546, Score, -54.67, PathLength, 53.0,sMostConnectedFirst,Cost, 27.868913650594223, Score, -58.9, PathLength, 57.0,
hRandomDirection,Cost, 1.9856630496598309, Score, 803.5479999999998,sRandomWalk,Cost, 995.156973247373, Score, -2044.34, PathLength, 2043.0,sConstrainedRandomWalk,Cost, 25.453163231989087, Score, -53.49, PathLength, 52.0,sLowEdgeCost,Cost, 28.9248182755098, Score, -60.5, PathLength, 59.0,sDepthFirstSearch,Cost, 27.72110036796597, Score, -57.95, PathLength, 56.0,sDepthFirstSearchLowCost,Cost, 25.28141902759667, Score, -53.05, PathLength, 52.0,sBreadthFirstSearch,Cost, 638.8479443587399, Score, -1292.89, PathLength, 1291.0,sBreadthFirstSearchLowCost,Cost, 2069.581759402034, Score, -4301.37, PathLength, 4300.0,sBacktrackPath,Cost, 28.872225734225257, Score, -61.51, PathLength, 60.0,sLeastConnectedFirst,Cost, 25.131205646184092, Score, -52.33, PathLength, 51.0,sMostConnectedFirst,Cost, 27.678190544522685, Score, -58.05, PathLength, 57.0,
hRandomSet,Cost, 37.82483128388231, Score, 1214.4030000000005,sRandomWalk,Cost, 1535.657805299903, Score, -3142.36, PathLength, 3141.0,sConstrainedRandomWalk,Cost, 41.36970661983456, Score, -85.79, PathLength, 84.0,sLowEdgeCost,Cost, 39.12000530783039, Score, -82.14, PathLength, 81.0,sDepthFirstSearch,Cost, 39.8657571704191, Score, -82.8, PathLength, 81.0,sDepthFirstSearchLowCost,Cost, 40.12848914998116, Score, -83.77, PathLength, 82.0,sBreadthFirstSearch,Cost, 979.2514828122802, Score, -1975.36, PathLength, 1974.0,sBreadthFirstSearchLowCost,Cost, 3085.2549241856705, Score, -6432.57, PathLength, 6431.0,sBacktrackPath,Cost, 43.56208035799315, Score, -92.06, PathLength, 91.0,sLeastConnectedFirst,Cost, 39.43600702377004, Score, -82.28, PathLength, 81.0,sMostConnectedFirst,Cost, 40.79832928723104, Score, -84.9, PathLength, 83.0,
hRandomFixedDistance,Cost, 21.4852910628054, Score, 1191.9289999999999,sRandomWalk,Cost, 1493.4762465425179, Score, -3064.24, PathLength, 3063.0,sConstrainedRandomWalk,Cost, 36.1573603798731, Score, -75.04, PathLength, 74.0,sLowEdgeCost,Cost, 38.02517815178757, Score, -79.28, PathLength, 78.0,sDepthFirstSearch,Cost, 36.801639257751226, Score, -76.72, PathLength, 75.0,sDepthFirstSearchLowCost,Cost, 39.56393715605736, Score, -82.67, PathLength, 81.0,sBreadthFirstSearch,Cost, 999.3097040527452, Score, -2009.62, PathLength, 2008.0,sBreadthFirstSearchLowCost,Cost, 3010.708886063797, Score, -6288.92, PathLength, 6287.0,sBacktrackPath,Cost, 39.636472382663385, Score, -84.32, PathLength, 83.0,sLeastConnectedFirst,Cost, 37.572876440711354, Score, -78.34, PathLength, 77.0,sMostConnectedFirst,Cost, 38.42295006982396, Score, -80.14, PathLength, 79.0,
hLowEdgeCostRandomFixedDistance,Cost, 23.787167858202114, Score, 1179.0130000000001,sRandomWalk,Cost, 1604.5789034952084, Score, -3295.61, PathLength, 3294.0,sConstrainedRandomWalk,Cost, 40.061952242786965, Score, -83.35, PathLength, 82.0,sLowEdgeCost,Cost, 38.9056938091034, Score, -80.83, PathLength, 79.0,sDepthFirstSearch,Cost, 38.27355988799256, Score, -79.71, PathLength, 78.0,sDepthFirstSearchLowCost,Cost, 40.85671879254345, Score, -85.17, PathLength, 84.0,sBreadthFirstSearch,Cost, 966.1319260993099, Score, -1940.24, PathLength, 1939.0,sBreadthFirstSearchLowCost,Cost, 2874.8185968975386, Score, -5976.03, PathLength, 5975.0,sBacktrackPath,Cost, 41.98836427905012, Score, -88.86, PathLength, 87.0,sLeastConnectedFirst,Cost, 37.97431457051023, Score, -78.95, PathLength, 77.0,sMostConnectedFirst,Cost, 39.19907371312901, Score, -81.38, PathLength, 80.0,
hMinimumConnectivity,Cost, 2.419828700417994, Score, 731.2550000000003,sRandomWalk,Cost, 861.7846354519035, Score, -1775.24, PathLength, 1774.0,sConstrainedRandomWalk,Cost, 28.56168732487504, Score, -60.17, PathLength, 59.0,sLowEdgeCost,Cost, 24.567385229937717, Score, -51.79, PathLength, 50.0,sDepthFirstSearch,Cost, 27.179065061136885, Score, -56.95, PathLength, 55.0,sDepthFirstSearchLowCost,Cost, 26.808899162557747, Score, -56.32, PathLength, 55.0,sBreadthFirstSearch,Cost, 744.4280947251735, Score, -1502.87, PathLength, 1501.0,sBreadthFirstSearchLowCost,Cost, 1765.4466613486345, Score, -3633.28, PathLength, 3632.0,sBacktrackPath,Cost, 30.421918965872756, Score, -64.24, PathLength, 63.0,sLeastConnectedFirst,Cost, 27.824927945232574, Score, -58.15, PathLength, 57.0,sMostConnectedFirst,Cost, 25.631681873208272, Score, -53.54, PathLength, 52.0,
hMaxDistance,Cost, 225.31944838861216, Score, 1133.1580000000004,sRandomWalk,Cost, 1364.4582706461733, Score, -2823.63, PathLength, 2822.0,sConstrainedRandomWalk,Cost, 35.43890573242518, Score, -74.0, PathLength, 73.0,sLowEdgeCost,Cost, 37.2597958792263, Score, -77.67, PathLength, 76.0,sDepthFirstSearch,Cost, 35.75680314279772, Score, -74.54, PathLength, 73.0,sDepthFirstSearchLowCost,Cost, 35.106836621026396, Score, -73.84, PathLength, 72.0,sBreadthFirstSearch,Cost, 995.7455490423281, Score, -1993.04, PathLength, 1992.0,sBreadthFirstSearchLowCost,Cost, 2897.7986243426803, Score, -5982.51, PathLength, 5981.0,sBacktrackPath,Cost, 38.182693699347375, Score, -81.07, PathLength, 80.0,sLeastConnectedFirst,Cost, 36.70300695070264, Score, -76.55, PathLength, 75.0,sMostConnectedFirst,Cost, 35.95244618243521, Score, -74.73, PathLength, 73.0,
