[100, [RandomSet,1], [ConstrainedRandomWalk,1][LeastConnectedFirst,1][BacktrackPath,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][FixedStartRandomWalk,1][LowEdgeCost,1][RandomWalk,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,fixed}, {EdgeTraversalDecrement,0}]
hRandomSet,Cost, 307.1, Score, 54.06999999999999,sConstrainedRandomWalk,Cost, 1467.7, Score, -49.25666666666669, PathLength, 146.0,sLeastConnectedFirst,Cost, 1010.4, Score, -34.01333333333334, PathLength, 101.0,sBacktrackPath,Cost, 1278.7, Score, -42.95666666666666, PathLength, 127.0,sBreadthFirstSearch,Cost, 2910.9, Score, -97.36333333333334, PathLength, 291.0,sBreadthFirstSearchLowCost,Cost, 2851.0, Score, -95.36666666666666, PathLength, 285.0,sFixedStartRandomWalk,Cost, 1483.1, Score, -49.77000000000001, PathLength, 148.0,sLowEdgeCost,Cost, 1296.8, Score, -43.55999999999999, PathLength, 129.0,sRandomWalk,Cost, 1477.5, Score, -49.58333333333335, PathLength, 147.0,sDepthFirstSearch,Cost, 1179.4, Score, -39.646666666666675, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 1165.5, Score, -39.18333333333332, PathLength, 116.0,
hRandomSet,Cost, 321.1, Score, 55.2686666666667,sConstrainedRandomWalk,Cost, 1369.1, Score, -45.96999999999999, PathLength, 136.0,sLeastConnectedFirst,Cost, 1017.4, Score, -34.246666666666655, PathLength, 101.0,sBacktrackPath,Cost, 1606.7, Score, -53.89, PathLength, 160.0,sBreadthFirstSearch,Cost, 2856.6, Score, -95.5533333333333, PathLength, 285.0,sBreadthFirstSearchLowCost,Cost, 2882.4, Score, -96.41333333333336, PathLength, 288.0,sFixedStartRandomWalk,Cost, 1350.3, Score, -45.34333333333334, PathLength, 135.0,sLowEdgeCost,Cost, 1375.8, Score, -46.19333333333333, PathLength, 137.0,sRandomWalk,Cost, 1397.8, Score, -46.92666666666667, PathLength, 139.0,sDepthFirstSearch,Cost, 1315.4, Score, -44.17999999999998, PathLength, 131.0,sDepthFirstSearchLowCost,Cost, 1309.1, Score, -43.970000000000006, PathLength, 130.0,
hRandomSet,Cost, 352.2, Score, 54.6613333333333,sConstrainedRandomWalk,Cost, 1422.6, Score, -47.75333333333333, PathLength, 142.0,sLeastConnectedFirst,Cost, 1014.2, Score, -34.140000000000015, PathLength, 101.0,sBacktrackPath,Cost, 1400.1, Score, -47.00333333333334, PathLength, 140.0,sBreadthFirstSearch,Cost, 2851.4, Score, -95.38000000000002, PathLength, 285.0,sBreadthFirstSearchLowCost,Cost, 2796.0, Score, -93.53333333333336, PathLength, 279.0,sFixedStartRandomWalk,Cost, 1386.5, Score, -46.55, PathLength, 138.0,sLowEdgeCost,Cost, 1359.2, Score, -45.64000000000001, PathLength, 135.0,sRandomWalk,Cost, 1575.3, Score, -52.84333333333332, PathLength, 157.0,sDepthFirstSearch,Cost, 1229.3, Score, -41.31, PathLength, 122.0,sDepthFirstSearchLowCost,Cost, 1263.8, Score, -42.46000000000001, PathLength, 126.0,
hRandomSet,Cost, 377.0, Score, 53.65433333333333,sConstrainedRandomWalk,Cost, 1277.8, Score, -42.92666666666665, PathLength, 127.0,sLeastConnectedFirst,Cost, 1031.8, Score, -34.72666666666667, PathLength, 103.0,sBacktrackPath,Cost, 1393.3, Score, -46.776666666666664, PathLength, 139.0,sBreadthFirstSearch,Cost, 2781.8, Score, -93.06, PathLength, 278.0,sBreadthFirstSearchLowCost,Cost, 2871.3, Score, -96.04333333333338, PathLength, 287.0,sFixedStartRandomWalk,Cost, 1342.2, Score, -45.07333333333333, PathLength, 134.0,sLowEdgeCost,Cost, 1368.3, Score, -45.94333333333334, PathLength, 136.0,sRandomWalk,Cost, 1359.0, Score, -45.63333333333332, PathLength, 135.0,sDepthFirstSearch,Cost, 1292.7, Score, -43.42333333333334, PathLength, 129.0,sDepthFirstSearchLowCost,Cost, 1278.1, Score, -42.93666666666667, PathLength, 127.0,
hRandomSet,Cost, 404.1, Score, 57.909,sConstrainedRandomWalk,Cost, 1498.3, Score, -50.27666666666667, PathLength, 149.0,sLeastConnectedFirst,Cost, 1011.9, Score, -34.06333333333333, PathLength, 101.0,sBacktrackPath,Cost, 1421.4, Score, -47.713333333333324, PathLength, 142.0,sBreadthFirstSearch,Cost, 3113.9, Score, -104.12999999999998, PathLength, 311.0,sBreadthFirstSearchLowCost,Cost, 3090.9, Score, -103.36333333333334, PathLength, 309.0,sFixedStartRandomWalk,Cost, 1417.8, Score, -47.59333333333334, PathLength, 141.0,sLowEdgeCost,Cost, 1446.3, Score, -48.54333333333333, PathLength, 144.0,sRandomWalk,Cost, 1572.8, Score, -52.76000000000005, PathLength, 157.0,sDepthFirstSearch,Cost, 1373.9, Score, -46.13000000000002, PathLength, 137.0,sDepthFirstSearchLowCost,Cost, 1325.5, Score, -44.51666666666666, PathLength, 132.0,
hRandomSet,Cost, 418.3, Score, 53.89833333333333,sConstrainedRandomWalk,Cost, 1412.9, Score, -47.43, PathLength, 141.0,sLeastConnectedFirst,Cost, 1046.7, Score, -35.22333333333333, PathLength, 104.0,sBacktrackPath,Cost, 1241.3, Score, -41.71000000000001, PathLength, 124.0,sBreadthFirstSearch,Cost, 3014.2, Score, -100.80666666666667, PathLength, 301.0,sBreadthFirstSearchLowCost,Cost, 2911.3, Score, -97.37666666666667, PathLength, 291.0,sFixedStartRandomWalk,Cost, 1349.6, Score, -45.32, PathLength, 134.0,sLowEdgeCost,Cost, 1237.5, Score, -41.58333333333333, PathLength, 123.0,sRandomWalk,Cost, 1381.7, Score, -46.38999999999999, PathLength, 138.0,sDepthFirstSearch,Cost, 1235.3, Score, -41.51000000000001, PathLength, 123.0,sDepthFirstSearchLowCost,Cost, 1239.0, Score, -41.63333333333333, PathLength, 123.0,
hRandomSet,Cost, 445.7, Score, 56.41100000000003,sConstrainedRandomWalk,Cost, 1398.0, Score, -46.93333333333331, PathLength, 139.0,sLeastConnectedFirst,Cost, 1051.4, Score, -35.37999999999999, PathLength, 105.0,sBacktrackPath,Cost, 1428.9, Score, -47.96333333333334, PathLength, 142.0,sBreadthFirstSearch,Cost, 2988.6, Score, -99.95333333333336, PathLength, 298.0,sBreadthFirstSearchLowCost,Cost, 2820.6, Score, -94.35333333333338, PathLength, 282.0,sFixedStartRandomWalk,Cost, 1443.3, Score, -48.44333333333334, PathLength, 144.0,sLowEdgeCost,Cost, 1518.0, Score, -50.93333333333334, PathLength, 151.0,sRandomWalk,Cost, 1352.1, Score, -45.40333333333333, PathLength, 135.0,sDepthFirstSearch,Cost, 1395.8, Score, -46.86000000000001, PathLength, 139.0,sDepthFirstSearchLowCost,Cost, 1426.6, Score, -47.88666666666665, PathLength, 142.0,
hRandomSet,Cost, 465.3, Score, 65.74833333333335,sConstrainedRandomWalk,Cost, 1760.2, Score, -59.00666666666666, PathLength, 176.0,sLeastConnectedFirst,Cost, 1054.7, Score, -35.49, PathLength, 105.0,sBacktrackPath,Cost, 1680.2, Score, -56.34, PathLength, 168.0,sBreadthFirstSearch,Cost, 3516.2, Score, -117.53999999999998, PathLength, 351.0,sBreadthFirstSearchLowCost,Cost, 3504.5, Score, -117.15000000000003, PathLength, 350.0,sFixedStartRandomWalk,Cost, 1712.7, Score, -57.423333333333304, PathLength, 171.0,sLowEdgeCost,Cost, 1772.0, Score, -59.39999999999999, PathLength, 177.0,sRandomWalk,Cost, 1734.8, Score, -58.15999999999999, PathLength, 173.0,sDepthFirstSearch,Cost, 1455.1, Score, -48.83666666666668, PathLength, 145.0,sDepthFirstSearchLowCost,Cost, 1434.1, Score, -48.13666666666667, PathLength, 143.0,
hRandomSet,Cost, 475.9, Score, 59.70333333333333,sConstrainedRandomWalk,Cost, 1577.0, Score, -52.89999999999999, PathLength, 157.0,sLeastConnectedFirst,Cost, 1083.8, Score, -36.45999999999999, PathLength, 108.0,sBacktrackPath,Cost, 1438.1, Score, -48.27, PathLength, 143.0,sBreadthFirstSearch,Cost, 3064.8, Score, -102.4933333333333, PathLength, 306.0,sBreadthFirstSearchLowCost,Cost, 3114.2, Score, -104.14000000000001, PathLength, 311.0,sFixedStartRandomWalk,Cost, 1687.4, Score, -56.58, PathLength, 168.0,sLowEdgeCost,Cost, 1489.5, Score, -49.98333333333335, PathLength, 148.0,sRandomWalk,Cost, 1756.9, Score, -58.89666666666667, PathLength, 175.0,sDepthFirstSearch,Cost, 1287.4, Score, -43.24666666666666, PathLength, 128.0,sDepthFirstSearchLowCost,Cost, 1311.9, Score, -44.06333333333336, PathLength, 131.0,
hRandomSet,Cost, 507.4, Score, 59.625333333333344,sConstrainedRandomWalk,Cost, 1531.2, Score, -51.37333333333334, PathLength, 153.0,sLeastConnectedFirst,Cost, 1024.2, Score, -34.473333333333336, PathLength, 102.0,sBacktrackPath,Cost, 1615.7, Score, -54.19, PathLength, 161.0,sBreadthFirstSearch,Cost, 2949.0, Score, -98.63333333333333, PathLength, 294.0,sBreadthFirstSearchLowCost,Cost, 3068.3, Score, -102.60999999999996, PathLength, 306.0,sFixedStartRandomWalk,Cost, 1530.1, Score, -51.33666666666667, PathLength, 153.0,sLowEdgeCost,Cost, 1609.8, Score, -53.99333333333335, PathLength, 160.0,sRandomWalk,Cost, 1610.3, Score, -54.01000000000001, PathLength, 161.0,sDepthFirstSearch,Cost, 1406.5, Score, -47.21666666666667, PathLength, 140.0,sDepthFirstSearchLowCost,Cost, 1442.5, Score, -48.41666666666666, PathLength, 144.0,
