[100, [Random,1][RandomVariableHidePotential,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][VariableFixedDistance,1][LowEdgeCostVariableFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hRandomFixedDistance,Cost, 47.96379956095247, Score, 28.19333333333333,sDepthFirstSearchLowCost,Cost, 259.8312634708532, Score, -28.19333333333333, PathLength, 83.0,
hLowEdgeCostRandomFixedDistance,Cost, 6.668794368931189, Score, 21.283333333333324,sDepthFirstSearchLowCost,Cost, 185.7832837175391, Score, -21.283333333333324, PathLength, 62.0,
hVariableFixedDistance,Cost, 73.29542390282009, Score, 30.75,sDepthFirstSearchLowCost,Cost, 293.16073988742534, Score, -30.75, PathLength, 91.0,
hLowEdgeCostVariableFixedDistance,Cost, 23.02886953617167, Score, 16.740000000000006,sDepthFirstSearchLowCost,Cost, 129.11005168170098, Score, -16.740000000000006, PathLength, 49.0,
hMinimumConnectivity,Cost, 10781.559615095563, Score, 54.140000000000015,sDepthFirstSearchLowCost,Cost, 601.4024837876827, Score, -54.140000000000015, PathLength, 161.0,
hMaxDistance,Cost, 202.51081380142634, Score, 33.526666666666664,sDepthFirstSearchLowCost,Cost, 332.54940482961234, Score, -33.526666666666664, PathLength, 99.0,
hRandom,Cost, 43.737865014703495, Score, 33.75333333333333,sDepthFirstSearchLowCost,Cost, 304.41425496811166, Score, -33.75333333333333, PathLength, 100.0,
hRandomVariableHidePotential,Cost, 563.8788681658076, Score, 31.966666666666665,sDepthFirstSearchLowCost,Cost, 282.19345235721977, Score, -31.966666666666665, PathLength, 94.0,
hRandomDirection,Cost, 18.292696260873573, Score, 29.15,sDepthFirstSearchLowCost,Cost, 245.63864623185182, Score, -29.15, PathLength, 86.0,
hRandomSet,Cost, 42.51571736506789, Score, 32.813333333333325,sDepthFirstSearchLowCost,Cost, 290.695297115859, Score, -32.813333333333325, PathLength, 97.0,
hRandomFixedDistance,Cost, 188.78847764283083, Score, 32.71666666666667,sDepthFirstSearchLowCost,Cost, 290.633184584075, Score, -32.71666666666667, PathLength, 97.0,
hLowEdgeCostRandomFixedDistance,Cost, 29.73773591062106, Score, 20.36666666666667,sDepthFirstSearchLowCost,Cost, 148.5665246878349, Score, -20.36666666666667, PathLength, 60.0,
hVariableFixedDistance,Cost, 90.54645091857739, Score, 31.979999999999986,sDepthFirstSearchLowCost,Cost, 283.0405290778918, Score, -31.979999999999986, PathLength, 94.0,
hLowEdgeCostVariableFixedDistance,Cost, 30.6631449258942, Score, 20.186666666666664,sDepthFirstSearchLowCost,Cost, 149.09766464453816, Score, -20.186666666666664, PathLength, 59.0,
hMinimumConnectivity,Cost, 19817.19555341238, Score, 39.04333333333332,sDepthFirstSearchLowCost,Cost, 374.6564499903169, Score, -39.04333333333332, PathLength, 116.0,
hMaxDistance,Cost, 1863.5063087831547, Score, 33.576666666666654,sDepthFirstSearchLowCost,Cost, 302.4213955669829, Score, -33.576666666666654, PathLength, 99.0,
hRandom,Cost, 41.26337188706686, Score, 31.28000000000001,sDepthFirstSearchLowCost,Cost, 299.6659594046017, Score, -31.28000000000001, PathLength, 92.0,
hRandomVariableHidePotential,Cost, 496.7490107011134, Score, 33.25666666666665,sDepthFirstSearchLowCost,Cost, 327.6417045017342, Score, -33.25666666666665, PathLength, 98.0,
hRandomDirection,Cost, 20.423344196512943, Score, 32.73333333333333,sDepthFirstSearchLowCost,Cost, 320.88274677007934, Score, -32.73333333333333, PathLength, 97.0,
hRandomSet,Cost, 42.007296261972854, Score, 35.530000000000015,sDepthFirstSearchLowCost,Cost, 361.83159337055025, Score, -35.530000000000015, PathLength, 105.0,
hRandomFixedDistance,Cost, 247.472072521422, Score, 33.519999999999975,sDepthFirstSearchLowCost,Cost, 330.57825636847747, Score, -33.519999999999975, PathLength, 99.0,
hLowEdgeCostRandomFixedDistance,Cost, 25.546021738471445, Score, 14.986666666666668,sDepthFirstSearchLowCost,Cost, 118.79311270820106, Score, -14.986666666666668, PathLength, 43.0,
hVariableFixedDistance,Cost, 117.85129689488684, Score, 32.313333333333325,sDepthFirstSearchLowCost,Cost, 317.17245687150034, Score, -32.313333333333325, PathLength, 95.0,
hLowEdgeCostVariableFixedDistance,Cost, 48.25457014078046, Score, 19.573333333333334,sDepthFirstSearchLowCost,Cost, 158.03195750796476, Score, -19.573333333333334, PathLength, 57.0,
hMinimumConnectivity,Cost, 9235.099910636527, Score, 50.38666666666666,sDepthFirstSearchLowCost,Cost, 555.8091676724393, Score, -50.38666666666666, PathLength, 150.0,
hMaxDistance,Cost, 279.0597490302132, Score, 34.58333333333334,sDepthFirstSearchLowCost,Cost, 344.1641754754551, Score, -34.58333333333334, PathLength, 102.0,
hRandom,Cost, 48.35811267179324, Score, 29.783333333333346,sDepthFirstSearchLowCost,Cost, 269.16796061169197, Score, -29.783333333333346, PathLength, 88.0,
hRandomVariableHidePotential,Cost, 431.6821811668638, Score, 31.61999999999999,sDepthFirstSearchLowCost,Cost, 291.253010408119, Score, -31.61999999999999, PathLength, 93.0,
hRandomDirection,Cost, 19.75668309390674, Score, 28.216666666666676,sDepthFirstSearchLowCost,Cost, 251.35340055243267, Score, -28.216666666666676, PathLength, 83.0,
hRandomSet,Cost, 44.40324857126077, Score, 32.84999999999999,sDepthFirstSearchLowCost,Cost, 310.170306487117, Score, -32.84999999999999, PathLength, 97.0,
hRandomFixedDistance,Cost, 226.45079323836293, Score, 32.200000000000024,sDepthFirstSearchLowCost,Cost, 301.648505463792, Score, -32.200000000000024, PathLength, 95.0,
hLowEdgeCostRandomFixedDistance,Cost, 42.70168847680123, Score, 16.560000000000002,sDepthFirstSearchLowCost,Cost, 125.48798900803915, Score, -16.560000000000002, PathLength, 48.0,
hVariableFixedDistance,Cost, 150.6043125089008, Score, 31.560000000000006,sDepthFirstSearchLowCost,Cost, 294.8207264234276, Score, -31.560000000000006, PathLength, 93.0,
hLowEdgeCostVariableFixedDistance,Cost, 64.36516717889134, Score, 21.279999999999994,sDepthFirstSearchLowCost,Cost, 173.14127432311543, Score, -21.279999999999994, PathLength, 62.0,
hMinimumConnectivity,Cost, 1031.2337470253403, Score, 53.833333333333314,sDepthFirstSearchLowCost,Cost, 570.1555708266548, Score, -53.833333333333314, PathLength, 160.0,
hMaxDistance,Cost, 1305.1960448133054, Score, 33.60333333333333,sDepthFirstSearchLowCost,Cost, 322.213497378716, Score, -33.60333333333333, PathLength, 99.0,
